entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-01-01 23:58:00,2025-01-02 00:57:00,2623.435,2626.505,short,-0.31,-0.31,0.0,0.0,,,4.33,0.99,2627.765,2622.448,-0.43,0.1,0.0,0.0,59.0,Exit,0.1,0.0
2025-01-02 00:59:00,2025-01-02 01:06:00,2626.455,2628.955,long,0.25,0.25,0.0,0.0,,,2.81,3.77,2623.645,2630.228,-0.28,0.38,0.0,0.0,7.0,Exit,0.1,0.0
2025-01-02 01:51:00,2025-01-02 02:01:00,2632.905,2633.898,long,0.1,0.1,0.0,0.0,,,1.41,1.59,2631.498,2634.498,-0.14,0.16,0.0,0.0,10.0,Exit,0.1,0.0
2025-01-02 02:40:00,2025-01-02 02:57:00,2635.965,2633.548,long,-0.24,-0.24,0.0,0.0,,,3.82,0.0,2632.148,2635.965,-0.38,0.0,0.0,0.0,17.0,Exit,0.1,0.0
2025-01-02 03:27:00,2025-01-02 03:37:00,2633.305,2633.155,short,0.02,0.02,0.0,0.0,,,0.8,0.83,2634.108,2632.475,-0.08,0.08,0.0,0.0,10.0,Exit,0.1,0.0
2025-01-02 05:14:00,2025-01-02 05:18:00,2634.048,2633.448,long,-0.06,-0.06,0.0,0.0,,,0.9,0.0,2633.148,2634.048,-0.09,0.0,0.0,0.0,4.0,Exit,0.1,0.0
2025-01-02 05:47:00,2025-01-02 06:26:00,2634.848,2633.324,long,-0.15,-0.15,0.0,0.0,,,3.85,0.35,2630.998,2635.198,-0.38,0.03,0.0,0.0,39.0,Exit,0.1,0.0
2025-01-02 06:30:00,2025-01-02 07:00:00,2633.474,2634.148,short,-0.07,-0.07,0.0,0.0,,,1.77,0.23,2635.244,2633.248,-0.18,0.02,0.0,0.0,30.0,Exit,0.1,0.0
2025-01-02 07:02:00,2025-01-02 07:25:00,2634.148,2634.908,long,0.08,0.08,0.0,0.0,,,0.82,1.65,2633.328,2635.798,-0.08,0.17,0.0,0.0,23.0,Exit,0.1,0.0
2025-01-02 07:56:00,2025-01-02 08:16:00,2634.088,2634.448,short,-0.04,-0.04,0.0,0.0,,,2.75,0.32,2636.838,2633.765,-0.28,0.03,0.0,0.0,20.0,Exit,0.1,0.0
2025-01-02 08:19:00,2025-01-02 08:41:00,2635.008,2634.878,long,-0.01,-0.01,0.0,0.0,,,4.02,0.49,2630.985,2635.498,-0.4,0.05,0.0,0.0,22.0,Exit,0.1,0.0
2025-01-02 09:23:00,2025-01-02 09:27:00,2638.248,2638.348,long,0.01,0.01,0.0,0.0,,,1.21,0.7,2637.034,2638.948,-0.12,0.07,0.0,0.0,4.0,Exit,0.1,0.0
2025-01-02 09:43:00,2025-01-02 10:13:00,2637.398,2638.055,long,0.07,0.07,0.0,0.0,,,4.86,1.35,2632.535,2638.748,-0.49,0.14,0.0,0.0,30.0,Exit,0.1,0.0
2025-01-02 10:42:00,2025-01-02 11:05:00,2645.294,2643.445,long,-0.18,-0.18,0.0,0.0,,,5.03,0.0,2640.268,2645.294,-0.5,0.0,0.0,0.0,23.0,Exit,0.1,0.0
2025-01-02 11:21:00,2025-01-02 12:00:00,2643.985,2641.948,long,-0.2,-0.2,0.0,0.0,,,3.92,0.0,2640.064,2643.985,-0.39,0.0,0.0,0.0,39.0,Exit,0.1,0.0
2025-01-02 12:02:00,2025-01-02 12:09:00,2641.435,2641.084,short,0.04,0.04,0.0,0.0,,,0.67,1.29,2642.108,2640.148,-0.07,0.13,0.0,0.0,7.0,Exit,0.1,0.0
2025-01-02 12:27:00,2025-01-02 12:59:00,2640.955,2643.765,short,-0.28,-0.28,0.0,0.0,,,5.31,0.0,2646.265,2640.955,-0.53,0.0,0.0,0.0,32.0,Exit,0.1,0.0
2025-01-02 13:02:00,2025-01-02 13:49:00,2641.865,2641.825,long,-0.0,-0.0,0.0,0.0,,,6.0,1.27,2635.865,2643.135,-0.6,0.13,0.0,0.0,47.0,Exit,0.1,0.0
2025-01-02 14:07:00,2025-01-02 14:15:00,2642.185,2647.828,long,0.56,0.56,0.0,0.0,,,1.89,6.72,2640.298,2648.905,-0.19,0.67,0.0,0.0,8.0,Exit,0.1,0.0
2025-01-02 14:31:00,2025-01-02 14:32:00,2649.448,2648.084,long,-0.14,-0.14,0.0,0.0,,,1.1,0.54,2648.344,2649.985,-0.11,0.05,0.0,0.0,1.0,Exit,0.1,0.0
2025-01-02 15:03:00,2025-01-02 15:17:00,2646.925,2648.595,long,0.17,0.17,0.0,0.0,,,1.94,2.49,2644.985,2649.415,-0.19,0.25,0.0,0.0,14.0,Exit,0.1,0.0
2025-01-02 16:05:00,2025-01-02 16:16:00,2651.404,2653.548,long,0.21,0.21,0.0,0.0,,,1.58,3.04,2649.828,2654.448,-0.16,0.3,0.0,0.0,11.0,Exit,0.1,0.0
2025-01-02 17:12:00,2025-01-02 17:54:00,2659.748,2654.248,long,-0.55,-0.55,0.0,0.0,,,7.4,0.1,2652.348,2659.848,-0.74,0.01,0.0,0.0,42.0,Exit,0.1,0.0
2025-01-02 17:56:00,2025-01-02 18:20:00,2653.925,2657.608,short,-0.37,-0.37,0.0,0.0,,,4.73,0.0,2658.658,2653.925,-0.47,0.0,0.0,0.0,24.0,Exit,0.1,0.0
2025-01-02 18:24:00,2025-01-02 18:44:00,2656.534,2655.148,long,-0.14,-0.14,0.0,0.0,,,2.81,0.33,2653.725,2656.864,-0.28,0.03,0.0,0.0,20.0,Exit,0.1,0.0
2025-01-02 18:46:00,2025-01-02 19:49:00,2654.868,2655.384,short,-0.05,-0.05,0.0,0.0,,,2.18,1.22,2657.048,2653.648,-0.22,0.12,0.0,0.0,63.0,Exit,0.1,0.0
2025-01-02 20:09:00,2025-01-02 21:14:00,2655.005,2659.505,short,-0.45,-0.45,0.0,0.0,,,5.37,0.0,2660.375,2655.005,-0.54,0.0,0.0,0.0,65.0,Exit,0.1,0.0
2025-01-02 21:16:00,2025-01-02 21:46:00,2659.698,2657.645,long,-0.21,-0.21,0.0,0.0,,,3.28,0.0,2656.415,2659.698,-0.33,0.0,0.0,0.0,30.0,Exit,0.1,0.0
2025-01-02 21:49:00,2025-01-02 21:59:00,2657.155,2657.795,short,-0.06,-0.06,0.0,0.0,,,0.66,0.32,2657.814,2656.835,-0.07,0.03,0.0,0.0,10.0,Exit,0.1,0.0
2025-01-02 23:09:00,2025-01-02 23:52:00,2657.248,2658.455,short,-0.12,-0.12,0.0,0.0,,,2.15,0.0,2659.398,2657.248,-0.22,0.0,0.0,0.0,43.0,Exit,0.1,0.0
2025-01-02 23:54:00,2025-01-03 00:02:00,2658.388,2659.055,long,0.07,0.07,0.0,0.0,,,0.7,1.29,2657.685,2659.675,-0.07,0.13,0.0,0.0,8.0,Exit,0.1,0.0
2025-01-03 00:23:00,2025-01-03 00:53:00,2660.265,2660.148,long,-0.01,-0.01,0.0,0.0,,,1.73,0.49,2658.538,2660.755,-0.17,0.05,0.0,0.0,30.0,Exit,0.1,0.0
2025-01-03 01:09:00,2025-01-03 01:56:00,2660.148,2658.955,long,-0.12,-0.12,0.0,0.0,,,3.55,1.06,2656.598,2661.205,-0.35,0.11,0.0,0.0,47.0,Exit,0.1,0.0
2025-01-03 01:58:00,2025-01-03 02:04:00,2659.035,2657.165,short,0.19,0.19,0.0,0.0,,,0.62,3.01,2659.655,2656.025,-0.06,0.3,0.0,0.0,6.0,Exit,0.1,0.0
2025-01-03 02:32:00,2025-01-03 02:41:00,2660.735,2661.105,long,0.04,0.04,0.0,0.0,,,1.5,1.2,2659.235,2661.935,-0.15,0.12,0.0,0.0,9.0,Exit,0.1,0.0
2025-01-03 03:42:00,2025-01-03 04:16:00,2663.125,2662.085,long,-0.1,-0.1,0.0,0.0,,,1.54,0.19,2661.585,2663.315,-0.15,0.02,0.0,0.0,34.0,Exit,0.1,0.0
2025-01-03 04:18:00,2025-01-03 04:34:00,2662.005,2663.314,short,-0.13,-0.13,0.0,0.0,,,2.19,0.0,2664.195,2662.005,-0.22,0.0,0.0,0.0,16.0,Exit,0.1,0.0
2025-01-03 04:39:00,2025-01-03 06:07:00,2662.495,2658.618,long,-0.39,-0.39,0.0,0.0,,,6.68,0.47,2655.815,2662.968,-0.67,0.05,0.0,0.0,88.0,Exit,0.1,0.0
