entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-01-01 23:41:00,2025-01-01 23:46:00,2621.755,2622.855,short,-41.95,-41.95,0.0,0.0,,,0.86,0.28,2622.615,2621.475,-32.79,10.68,0.0,0.0,5.0,Exit,38.1337,0.0
2025-01-01 23:53:00,2025-01-02 00:00:00,2624.475,2622.228,long,-85.64,-85.64,0.0,0.0,,,2.03,0.0,2622.448,2624.475,-77.25,0.0,0.0,0.0,7.0,Exit,38.1119,0.0
2025-01-02 00:06:00,2025-01-02 00:31:00,2624.598,2625.155,long,21.23,21.23,0.0,0.0,,,0.8,1.71,2623.798,2626.305,-30.49,65.05,0.0,0.0,25.0,Exit,38.1098,0.0
2025-01-02 00:35:00,2025-01-02 00:39:00,2624.935,2626.715,short,-67.8,-67.8,0.0,0.0,,,1.3,0.0,2626.235,2624.935,-49.51,0.0,0.0,0.0,4.0,Exit,38.0879,0.0
2025-01-02 00:44:00,2025-01-02 00:49:00,2627.705,2626.095,long,-61.28,-61.28,0.0,0.0,,,1.01,0.06,2626.695,2627.765,-38.45,2.28,0.0,0.0,5.0,Exit,38.0647,0.0
2025-01-02 00:58:00,2025-01-02 01:03:00,2625.284,2626.455,short,-44.59,-44.59,0.0,0.0,,,0.81,1.64,2626.095,2623.645,-30.88,62.42,0.0,0.0,5.0,Exit,38.0821,0.0
2025-01-02 01:05:00,2025-01-02 01:21:00,2627.655,2629.505,long,70.42,70.42,0.0,0.0,,,0.72,4.14,2626.938,2631.798,-27.29,157.71,0.0,0.0,16.0,Exit,38.0655,0.0
2025-01-02 01:40:00,2025-01-02 01:56:00,2632.365,2633.505,short,-43.3,-43.3,0.0,0.0,,,1.38,0.96,2633.748,2631.408,-52.53,36.35,0.0,0.0,16.0,Exit,37.9802,0.0
2025-01-02 02:01:00,2025-01-02 02:03:00,2634.598,2632.225,long,-90.09,-90.09,0.0,0.0,,,1.87,0.0,2632.725,2634.598,-71.11,0.0,0.0,0.0,2.0,Exit,37.9651,0.0
2025-01-02 02:23:00,2025-01-02 02:25:00,2636.248,2634.195,long,-77.89,-77.89,0.0,0.0,,,1.45,0.05,2634.795,2636.298,-55.13,1.9,0.0,0.0,2.0,Exit,37.9412,0.0
