entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-01-02 01:04:00,2025-01-02 01:47:00,2626.485,2631.165,long,468.0,468.0,0.0,0.4403,2615.855,2650.855,1.04,7.66,2625.448,2634.148,-103.7,766.3,-0.1,0.72,43.0,Exit,100.0,1063.0
2025-01-02 02:04:00,2025-01-02 02:05:00,2632.205,2633.854,short,-164.9,-164.9,0.0,-0.1758,2622.825,2657.825,1.55,0.0,2633.755,2632.205,-155.0,0.0,-0.17,0.0,1.0,SL Hit,100.0,938.0
2025-01-02 03:04:00,2025-01-02 03:05:00,2633.348,2634.448,short,-110.0,-110.0,0.0,-0.1171,2623.954,2658.954,0.7,0.02,2634.048,2633.324,-70.0,2.4,-0.07,0.0,1.0,SL Hit,100.0,939.4
2025-01-02 05:50:00,2025-01-02 05:51:00,2635.598,2633.898,long,-170.0,-170.0,0.0,-0.1589,2624.898,2659.898,1.1,0.0,2634.498,2635.598,-110.0,0.0,-0.1,0.0,1.0,Exit,100.0,1070.0
2025-01-02 09:13:00,2025-01-02 09:14:00,2636.648,2638.104,short,-145.6,-145.6,0.0,-0.1566,2627.348,2662.348,1.5,0.0,2638.148,2636.648,-150.0,0.0,-0.16,0.0,1.0,SL Hit,100.0,930.0
2025-01-02 10:10:00,2025-01-02 10:45:00,2635.985,2642.218,long,623.3,623.3,0.0,0.5869,2625.365,2660.365,0.74,10.11,2635.248,2646.098,-73.7,1011.3,-0.07,0.95,35.0,Exit,100.0,1062.0
2025-01-02 11:19:00,2025-01-02 11:20:00,2642.925,2643.354,short,-42.9,-42.9,0.0,-0.0456,2633.515,2668.515,0.76,0.23,2643.685,2642.698,-76.0,22.7,-0.08,0.02,1.0,SL Hit,100.0,941.0
2025-01-02 11:58:00,2025-01-02 12:02:00,2642.398,2641.034,long,-136.4,-136.4,0.0,-0.1287,2631.798,2666.798,0.98,0.16,2641.415,2642.554,-98.3,15.6,-0.09,0.01,4.0,Exit,100.0,1060.0
2025-01-02 12:56:00,2025-01-02 12:57:00,2643.455,2644.555,short,-110.0,-110.0,0.0,-0.1171,2634.065,2669.065,0.69,0.18,2644.145,2643.275,-69.0,18.0,-0.07,0.02,1.0,SL Hit,100.0,939.0
2025-01-02 13:40:00,2025-01-02 13:41:00,2638.235,2639.635,short,-140.0,-140.0,0.0,-0.1502,2628.915,2663.915,1.24,0.0,2639.475,2638.235,-124.0,0.0,-0.13,0.0,1.0,SL Hit,100.0,932.0
