entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-01-02 00:05:00,2025-01-02 00:06:00,2623.285,2623.325,long,9.77,9.77,0.0,0.0087,2618.67054,2624.40279,0.61,0.81,2622.675,2624.098,-148.98,198.56,-0.13,0.18,1.0,Exit,244.2322,1127.0
2025-01-02 01:04:00,2025-01-02 01:05:00,2625.285,2627.555,short,-429.14,-429.14,0.0,-0.481,2620.56536,2627.97086,2.86,0.0,2628.148,2625.285,-541.25,0.0,-0.61,0.0,1.0,SL Hit,189.0487,892.24
2025-01-02 01:56:00,2025-01-02 01:57:00,2631.848,2633.405,short,-289.42,-289.42,0.0,-0.3327,2627.16836,2634.69986,1.3,0.0,2633.145,2631.848,-241.09,0.0,-0.28,0.0,1.0,SL Hit,185.8859,869.88
2025-01-02 02:00:00,2025-01-02 02:01:00,2632.135,2634.498,short,-430.38,-430.38,0.0,-0.4832,2627.24446,2634.93121,2.36,0.0,2634.498,2632.135,-430.38,0.0,-0.48,0.0,1.0,SL Hit,182.1316,890.72
2025-01-02 02:40:00,2025-01-02 02:41:00,2634.765,2635.725,short,-174.68,-174.68,0.0,-0.1961,2629.86911,2637.56336,0.6,0.43,2635.365,2634.334,-109.17,78.42,-0.12,0.09,1.0,SL Hit,181.9541,890.83
2025-01-02 05:50:00,2025-01-02 05:51:00,2634.398,2635.144,short,-167.82,-167.82,0.0,-0.1891,2630.45264,2636.67614,0.8,0.0,2635.198,2634.398,-179.96,0.0,-0.2,0.0,1.0,SL Hit,224.9538,887.52
2025-01-02 09:48:00,2025-01-02 09:49:00,2637.048,2637.748,short,-175.3,-175.3,0.0,-0.2063,2633.65479,2639.24529,0.7,0.0,2637.748,2637.048,-175.3,0.0,-0.21,0.0,1.0,SL Hit,250.4248,849.75
2025-01-02 10:42:00,2025-01-02 10:43:00,2644.094,2645.484,short,-206.99,-206.99,0.0,-0.2252,2637.92282,2647.32407,0.96,0.26,2645.058,2643.838,-143.56,38.12,-0.16,0.04,1.0,SL Hit,148.9164,918.99
2025-01-02 11:01:00,2025-01-02 11:02:00,2642.415,2642.865,short,-58.69,-58.69,0.0,-0.0633,2635.30732,2646.04207,0.61,0.16,2643.025,2642.255,-79.55,20.87,-0.09,0.02,1.0,SL Hit,130.4176,926.97
2025-01-02 12:05:00,2025-01-02 12:18:00,2641.624,2640.648,long,-229.31,-229.31,0.0,-0.201,2636.76775,2642.7265,1.48,0.0,2640.148,2641.624,-346.78,0.0,-0.3,0.0,13.0,Exit,234.9486,1140.97
2025-01-02 13:40:00,2025-01-02 13:47:00,2639.435,2639.898,long,41.69,41.69,0.0,0.0398,2627.80804,2643.35779,1.46,1.1,2637.975,2640.535,-131.45,99.04,-0.13,0.09,7.0,Exit,90.0336,1046.82
2025-01-02 14:11:00,2025-01-02 14:12:00,2642.085,2643.555,short,-129.42,-129.42,0.0,-0.1374,2631.38925,2647.2915,2.36,0.0,2644.445,2642.085,-207.77,0.0,-0.22,0.0,1.0,SL Hit,88.0379,941.63
2025-01-02 14:54:00,2025-01-02 14:55:00,2648.048,2649.335,short,-132.67,-132.67,0.0,-0.1414,2638.94729,2652.52829,1.12,0.2,2649.165,2647.848,-115.15,20.62,-0.12,0.02,1.0,SL Hit,103.0852,938.15
2025-01-02 15:09:00,2025-01-02 15:10:00,2648.675,2648.998,short,-33.24,-33.24,0.0,-0.0348,2639.38875,2652.9915,0.74,2.32,2649.415,2646.355,-76.16,238.78,-0.08,0.25,1.0,SL Hit,102.9204,955.74
2025-01-02 15:24:00,2025-01-02 15:25:00,2648.275,2649.348,short,-131.94,-131.94,0.0,-0.1426,2640.75232,2652.13807,0.83,0.0,2649.105,2648.275,-102.06,0.0,-0.11,0.0,1.0,SL Hit,122.9607,924.99
2025-01-02 16:10:00,2025-01-02 16:11:00,2651.924,2652.685,short,-86.5,-86.5,0.0,-0.0932,2643.7575,2656.074,1.68,0.0,2653.605,2651.924,-191.08,0.0,-0.21,0.0,1.0,SL Hit,113.6687,928.28
2025-01-02 16:14:00,2025-01-02 16:15:00,2653.415,2653.904,short,-51.75,-51.75,0.0,-0.0549,2644.505,2657.735,0.6,0.26,2654.015,2653.154,-63.49,27.62,-0.07,0.03,1.0,SL Hit,105.8201,942.86
2025-01-02 17:14:00,2025-01-02 17:15:00,2658.364,2659.454,short,-183.5,-183.5,0.0,-0.2041,2653.024,2661.34,0.78,0.36,2659.148,2658.004,-131.99,60.61,-0.15,0.07,1.0,SL Hit,168.3502,898.99
2025-01-02 17:21:00,2025-01-02 17:22:00,2658.115,2660.148,short,-326.5,-326.5,0.0,-0.3607,2652.47839,2661.19564,1.73,0.0,2659.848,2658.115,-278.32,0.0,-0.31,0.0,1.0,SL Hit,160.6011,905.25
2025-01-02 18:28:00,2025-01-02 18:29:00,2656.068,2656.978,short,-170.86,-170.86,0.0,-0.1949,2651.39793,2658.85443,0.8,1.27,2656.864,2654.798,-149.45,238.45,-0.17,0.27,1.0,SL Hit,187.7556,876.83
2025-01-02 18:49:00,2025-01-02 18:56:00,2655.294,2654.814,long,-98.9,-98.9,0.0,-0.0883,2649.86043,2656.65543,0.77,0.22,2654.524,2655.514,-158.65,45.33,-0.14,0.04,7.0,Exit,206.0338,1119.5
2025-01-02 19:06:00,2025-01-02 19:18:00,2655.554,2654.248,long,-298.36,-298.36,0.0,-0.2647,2650.62068,2656.74893,1.91,0.0,2653.648,2655.554,-435.43,0.0,-0.39,0.0,12.0,Exit,228.4502,1127.02
2025-01-02 19:34:00,2025-01-02 19:35:00,2655.575,2655.585,long,2.13,2.13,0.0,0.0019,2650.2725,2656.856,0.63,0.62,2654.948,2656.195,-133.33,131.84,-0.12,0.12,1.0,Exit,212.6528,1127.59
2025-01-02 20:01:00,2025-01-02 20:04:00,2654.845,2654.205,long,-156.64,-156.64,0.0,-0.1357,2650.12911,2655.84936,0.86,0.0,2653.985,2654.845,-210.48,0.0,-0.18,0.0,3.0,Exit,244.7445,1154.19
2025-01-02 20:44:00,2025-01-02 20:45:00,2659.194,2659.515,short,-75.97,-75.97,0.0,-0.0896,2655.60982,2661.52507,0.66,0.3,2659.855,2658.898,-156.44,70.06,-0.18,0.08,1.0,SL Hit,236.6764,848.29
2025-01-02 20:47:00,2025-01-02 20:48:00,2659.065,2659.998,short,-210.49,-210.49,0.0,-0.2393,2655.1655,2661.371,0.73,0.0,2659.798,2659.065,-165.37,0.0,-0.19,0.0,1.0,SL Hit,225.6063,879.75
2025-01-02 20:53:00,2025-01-02 20:54:00,2658.875,2660.205,short,-307.26,-307.26,0.0,-0.3638,2655.21943,2661.27943,1.07,0.0,2659.948,2658.875,-247.89,0.0,-0.29,0.0,1.0,SL Hit,231.0231,844.52
2025-01-03 01:11:00,2025-01-03 01:12:00,2659.818,2660.695,short,-162.13,-162.13,0.0,-0.1824,2655.00889,2662.58164,1.11,0.0,2660.925,2659.818,-204.65,0.0,-0.23,0.0,1.0,SL Hit,184.8734,889.08
2025-01-03 02:03:00,2025-01-03 02:08:00,2658.465,2658.105,long,-76.68,-76.68,0.0,-0.0681,2653.18,2659.753,2.44,0.83,2656.025,2659.298,-519.7,177.42,-0.46,0.16,5.0,Exit,212.9925,1125.67
2025-01-03 02:37:00,2025-01-03 02:38:00,2660.275,2660.898,short,-82.37,-82.37,0.0,-0.0895,2653.31179,2663.90029,0.8,0.0,2661.075,2660.275,-105.78,0.0,-0.11,0.0,1.0,SL Hit,132.2189,920.67
2025-01-03 02:55:00,2025-01-03 02:56:00,2661.095,2661.788,short,-138.46,-138.46,0.0,-0.1573,2656.68982,2663.69707,0.84,0.25,2661.935,2660.848,-167.83,49.35,-0.19,0.06,1.0,SL Hit,199.7931,880.12
2025-01-03 06:14:00,2025-01-03 06:17:00,2658.865,2658.025,long,-164.65,-164.65,0.0,-0.15,2653.26339,2660.40564,1.15,0.14,2657.715,2659.005,-225.42,27.44,-0.21,0.02,3.0,Exit,196.0167,1098.01
2025-01-03 07:46:00,2025-01-03 07:48:00,2654.435,2653.355,long,-225.2,-225.2,0.0,-0.1987,2648.99929,2655.71329,1.64,0.0,2652.795,2654.435,-341.97,0.0,-0.3,0.0,2.0,Exit,208.5195,1133.45
2025-01-03 08:03:00,2025-01-03 08:11:00,2654.635,2653.265,long,-201.65,-201.65,0.0,-0.1878,2647.34107,2656.85257,2.7,0.0,2651.935,2654.635,-397.41,0.0,-0.37,0.0,8.0,Exit,147.1902,1073.6
2025-01-03 09:41:00,2025-01-03 09:42:00,2654.385,2655.415,short,-258.18,-258.18,0.0,-0.3094,2651.05554,2656.64079,0.99,0.01,2655.375,2654.375,-248.15,2.51,-0.3,0.0,1.0,SL Hit,250.6602,834.56
2025-01-03 10:27:00,2025-01-03 10:28:00,2655.765,2657.125,short,-333.55,-333.55,0.0,-0.3889,2652.26768,2657.97593,0.95,0.0,2656.715,2655.765,-233.0,0.0,-0.27,0.0,1.0,SL Hit,245.2591,857.75
2025-01-03 11:32:00,2025-01-03 11:33:00,2656.998,2657.798,short,-158.18,-158.18,0.0,-0.1795,2652.54032,2659.62107,0.6,0.0,2657.598,2656.998,-118.63,0.0,-0.13,0.0,1.0,SL Hit,197.7192,881.37
2025-01-03 12:05:00,2025-01-03 12:06:00,2657.348,2658.505,short,-287.2,-287.2,0.0,-0.3375,2653.91943,2659.55943,0.88,0.38,2658.225,2656.965,-217.7,95.07,-0.26,0.11,1.0,SL Hit,248.227,851.06
2025-01-03 13:17:00,2025-01-03 13:23:00,2655.405,2648.41839,long,-1178.85,-1178.85,0.0,-1.0771,2648.91839,2657.21564,7.42,0.0,2647.984,2655.405,-1252.15,0.0,-1.14,0.0,6.0,SL Hit,168.7306,1094.49
2025-01-03 14:01:00,2025-01-03 14:02:00,2649.405,2648.825,long,-70.1,-70.1,0.0,-0.0654,2640.53143,2652.11443,1.38,0.22,2648.025,2649.625,-166.8,26.59,-0.16,0.02,1.0,Exit,120.8668,1072.52
2025-01-03 15:19:00,2025-01-03 15:31:00,2645.085,2642.785,long,-234.34,-234.34,0.0,-0.2228,2634.76018,2648.50093,4.25,0.0,2640.835,2645.085,-433.02,0.0,-0.41,0.0,12.0,Exit,101.8867,1051.96
2025-01-03 15:47:00,2025-01-03 15:48:00,2644.685,2644.058,long,-79.1,-79.1,0.0,-0.074,2636.20857,2647.30557,0.75,0.17,2643.938,2644.855,-94.24,21.45,-0.09,0.02,1.0,Exit,126.1602,1069.39
2025-01-03 17:21:00,2025-01-03 17:27:00,2641.665,2640.635,long,-226.68,-226.68,0.0,-0.2006,2636.53107,2642.89257,1.31,0.0,2640.355,2641.665,-288.3,0.0,-0.26,0.0,6.0,Exit,220.0739,1129.84
2025-01-03 18:08:00,2025-01-03 18:09:00,2640.598,2641.698,short,-256.57,-256.57,0.0,-0.2983,2636.91068,2642.91293,1.1,0.0,2641.698,2640.598,-256.57,0.0,-0.3,0.0,1.0,SL Hit,233.2459,860.05
2025-01-06 00:03:00,2025-01-06 00:04:00,2640.705,2641.435,short,-170.35,-170.35,0.0,-0.1965,2636.98982,2642.98907,0.84,0.13,2641.545,2640.575,-196.02,30.34,-0.23,0.03,1.0,SL Hit,233.3625,866.98
2025-01-06 02:27:00,2025-01-06 02:28:00,2642.998,2644.315,short,-292.21,-292.21,0.0,-0.3293,2638.99804,2645.30779,1.16,0.0,2644.155,2642.998,-256.71,0.0,-0.29,0.0,1.0,SL Hit,221.8788,887.51
2025-01-06 03:03:00,2025-01-06 03:04:00,2643.425,2645.565,short,-482.86,-482.86,0.0,-0.5585,2639.59304,2645.79779,1.76,0.0,2645.185,2643.425,-397.12,0.0,-0.46,0.0,1.0,SL Hit,225.6336,864.62
2025-01-06 03:06:00,2025-01-06 03:07:00,2643.905,2645.495,short,-297.9,-297.9,0.0,-0.3351,2639.16068,2646.63293,1.24,0.0,2645.148,2643.905,-232.89,0.0,-0.26,0.0,1.0,SL Hit,187.3599,888.9
