entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-01-02 21:49:00,2025-01-02 21:58:00,2657.155,2658.405,short,-0.12,-0.12,0.0,0.0,,,0.66,0.32,2657.814,2656.835,-0.07,0.03,0.0,0.0,9.0,Exit,0.1,0.0
2025-01-06 15:45:00,2025-01-06 15:48:00,2635.585,2633.545,long,-0.2,-0.2,0.0,0.0,,,1.8,0.94,2633.785,2636.525,-0.18,0.09,0.0,0.0,3.0,Exit,0.1,0.0
2025-01-07 17:02:00,2025-01-07 17:08:00,2652.925,2651.848,long,-0.11,-0.11,0.0,0.0,,,0.9,0.74,2652.028,2653.665,-0.09,0.07,0.0,0.0,6.0,Exit,0.1,0.0
2025-01-08 21:43:00,2025-01-08 21:44:00,2662.948,2661.548,long,-0.14,-0.14,0.0,0.0,,,0.94,0.0,2662.008,2662.948,-0.09,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-01-09 10:05:00,2025-01-09 10:07:00,2665.454,2664.114,long,-0.13,-0.13,0.0,0.0,,,0.82,0.0,2664.635,2665.454,-0.08,0.0,0.0,0.0,2.0,Exit,0.1,0.0
2025-01-13 15:06:00,2025-01-13 15:10:00,2671.375,2668.919,long,-0.25,-0.25,0.0,0.0,,,1.9,1.15,2669.479,2672.525,-0.19,0.12,0.0,0.0,4.0,Exit,0.1,0.0
2025-01-13 21:14:00,2025-01-13 21:19:00,2662.105,2660.835,long,-0.13,-0.13,0.0,0.0,,,0.76,0.0,2661.348,2662.105,-0.08,0.0,0.0,0.0,5.0,Exit,0.1,0.0
2025-01-14 04:36:00,2025-01-14 04:37:00,2668.865,2670.205,short,-0.13,-0.13,0.0,0.0,,,0.78,0.0,2669.645,2668.865,-0.08,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-01-17 20:25:00,2025-01-17 20:26:00,2701.745,2703.055,short,-0.13,-0.13,0.0,0.0,,,1.18,0.0,2702.925,2701.745,-0.12,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-01-20 02:27:00,2025-01-20 02:50:00,2695.415,2695.895,long,0.05,0.05,0.0,0.0,,,0.79,2.02,2694.625,2697.435,-0.08,0.2,0.0,0.0,23.0,Exit,0.1,0.0
2025-01-20 08:14:00,2025-01-20 08:15:00,2704.385,2705.765,short,-0.14,-0.14,0.0,0.0,,,1.05,0.0,2705.435,2704.385,-0.1,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-01-23 14:48:00,2025-01-23 14:49:00,2744.015,2741.658,long,-0.24,-0.24,0.0,0.0,,,2.57,0.0,2741.448,2744.015,-0.26,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-01-23 16:02:00,2025-01-23 16:05:00,2747.685,2746.205,long,-0.15,-0.15,0.0,0.0,,,1.29,0.51,2746.395,2748.195,-0.13,0.05,0.0,0.0,3.0,Exit,0.1,0.0
2025-01-24 11:50:00,2025-01-24 11:53:00,2778.045,2776.248,long,-0.18,-0.18,0.0,0.0,,,1.2,0.0,2776.848,2778.045,-0.12,0.0,0.0,0.0,3.0,Exit,0.1,0.0
2025-01-27 09:27:00,2025-01-27 09:34:00,2762.405,2760.018,long,-0.24,-0.24,0.0,0.0,,,1.91,0.88,2760.495,2763.285,-0.19,0.09,0.0,0.0,7.0,Exit,0.1,0.0
2025-01-27 13:18:00,2025-01-27 13:19:00,2760.585,2762.015,short,-0.14,-0.14,0.0,0.0,,,1.66,0.0,2762.245,2760.585,-0.17,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-01-27 14:01:00,2025-01-27 14:02:00,2755.455,2757.115,short,-0.17,-0.17,0.0,0.0,,,1.19,0.0,2756.645,2755.455,-0.12,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-01-29 15:54:00,2025-01-29 15:55:00,2752.345,2754.135,short,-0.18,-0.18,0.0,0.0,,,1.47,0.0,2753.815,2752.345,-0.15,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-01-30 06:38:00,2025-01-30 07:25:00,2761.648,2765.895,long,0.42,0.42,0.0,0.0,,,0.6,6.59,2761.048,2768.235,-0.06,0.66,0.0,0.0,47.0,Exit,0.1,0.0
2025-02-05 02:28:00,2025-02-05 02:29:00,2852.058,2850.108,long,-0.19,-0.19,0.0,0.0,,,1.57,0.0,2850.485,2852.058,-0.16,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-02-05 21:05:00,2025-02-05 21:12:00,2861.525,2862.465,short,-0.09,-0.09,0.0,0.0,,,0.6,0.54,2862.125,2860.985,-0.06,0.05,0.0,0.0,7.0,Exit,0.1,0.0
2025-02-06 01:28:00,2025-02-06 01:32:00,2865.848,2867.128,short,-0.13,-0.13,0.0,0.0,,,1.2,0.4,2867.048,2865.448,-0.12,0.04,0.0,0.0,4.0,Exit,0.1,0.0
2025-02-06 09:51:00,2025-02-06 09:52:00,2859.025,2857.455,long,-0.16,-0.16,0.0,0.0,,,1.89,0.0,2857.135,2859.025,-0.19,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-02-06 16:05:00,2025-02-06 16:19:00,2851.368,2851.115,long,-0.03,-0.03,0.0,0.0,,,0.72,3.29,2850.648,2854.655,-0.07,0.33,0.0,0.0,14.0,Exit,0.1,0.0
2025-02-07 02:53:00,2025-02-07 02:54:00,2868.225,2866.755,long,-0.15,-0.15,0.0,0.0,,,0.93,0.0,2867.295,2868.225,-0.09,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-02-07 06:20:00,2025-02-07 06:21:00,2861.625,2863.405,short,-0.18,-0.18,0.0,0.0,,,1.24,0.0,2862.865,2861.625,-0.12,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-02-11 10:16:00,2025-02-11 10:27:00,2904.785,2905.895,short,-0.11,-0.11,0.0,0.0,,,0.89,1.06,2905.675,2903.725,-0.09,0.11,0.0,0.0,11.0,Exit,0.1,0.0
2025-02-12 17:49:00,2025-02-12 17:50:00,2904.325,2902.495,long,-0.18,-0.18,0.0,0.0,,,1.35,0.0,2902.975,2904.325,-0.13,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-02-13 01:18:00,2025-02-13 01:37:00,2904.345,2903.905,short,0.04,0.04,0.0,0.0,,,0.6,3.16,2904.945,2901.188,-0.06,0.32,0.0,0.0,19.0,Exit,0.1,0.0
2025-02-14 15:48:00,2025-02-14 15:57:00,2902.035,2902.945,short,-0.09,-0.09,0.0,0.0,,,1.76,1.96,2903.795,2900.075,-0.18,0.2,0.0,0.0,9.0,Exit,0.1,0.0
2025-02-14 21:17:00,2025-02-14 21:18:00,2884.115,2882.585,long,-0.15,-0.15,0.0,0.0,,,0.94,0.0,2883.175,2884.115,-0.09,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-02-17 05:43:00,2025-02-17 05:47:00,2902.425,2900.775,long,-0.16,-0.16,0.0,0.0,,,1.4,0.01,2901.025,2902.435,-0.14,0.0,0.0,0.0,4.0,Exit,0.1,0.0
2025-02-17 07:27:00,2025-02-17 07:34:00,2899.945,2898.295,long,-0.16,-0.16,0.0,0.0,,,1.12,0.0,2898.825,2899.945,-0.11,0.0,0.0,0.0,7.0,Exit,0.1,0.0
2025-02-19 01:16:00,2025-02-19 01:20:00,2930.795,2932.065,short,-0.13,-0.13,0.0,0.0,,,1.49,0.59,2932.285,2930.205,-0.15,0.06,0.0,0.0,4.0,Exit,0.1,0.0
2025-02-19 10:22:00,2025-02-19 10:23:00,2944.855,2942.885,long,-0.2,-0.2,0.0,0.0,,,1.47,0.0,2943.385,2944.855,-0.15,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-02-21 00:00:00,2025-02-21 00:02:00,2941.855,2940.645,long,-0.12,-0.12,0.0,0.0,,,0.74,0.43,2941.115,2942.285,-0.07,0.04,0.0,0.0,2.0,Exit,0.1,0.0
2025-02-21 20:15:00,2025-02-21 20:25:00,2934.815,2935.035,short,-0.02,-0.02,0.0,0.0,,,0.63,2.53,2935.445,2932.285,-0.06,0.25,0.0,0.0,10.0,Exit,0.1,0.0
2025-02-24 12:18:00,2025-02-24 12:19:00,2947.338,2945.905,long,-0.14,-0.14,0.0,0.0,,,1.16,0.0,2946.175,2947.338,-0.12,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-02-24 16:31:00,2025-02-24 16:34:00,2941.668,2940.255,long,-0.14,-0.14,0.0,0.0,,,0.82,1.11,2940.845,2942.775,-0.08,0.11,0.0,0.0,3.0,Exit,0.1,0.0
