entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-01-02 08:13:00,2025-01-02 08:15:00,2635.248,2633.915,long,-88.87,-88.87,0.0,-0.086,2619.748,2669.748,0.99,0.0,2634.254,2635.248,-66.27,0.0,-0.06,0.0,2.0,Exit,66.6667,1033.33
2025-01-02 10:37:00,2025-01-02 10:45:00,2644.854,2642.218,long,-175.73,-175.73,0.0,-0.1691,2629.264,2679.264,2.22,0.69,2642.634,2645.548,-148.0,46.27,-0.14,0.04,8.0,Exit,66.6667,1039.33
2025-01-02 18:49:00,2025-01-02 18:50:00,2654.094,2655.814,short,-114.67,-114.67,0.0,-0.1196,2639.714,2689.714,1.42,0.0,2655.514,2654.094,-94.67,0.0,-0.1,0.0,1.0,SL Hit,66.6667,958.67
2025-01-03 21:31:00,2025-01-03 21:32:00,2636.565,2637.595,short,-68.67,-68.67,0.0,-0.0715,2622.165,2672.165,0.7,0.0,2637.265,2636.565,-46.67,0.0,-0.05,0.0,1.0,SL Hit,66.6667,960.0
2025-01-06 00:45:00,2025-01-06 00:46:00,2638.385,2639.948,short,-104.2,-104.2,0.0,-0.1088,2624.015,2674.015,1.67,0.0,2640.055,2638.385,-111.33,0.0,-0.12,0.0,1.0,SL Hit,66.6667,958.0
2025-01-06 01:11:00,2025-01-06 01:31:00,2642.998,2643.614,long,41.07,41.07,0.0,0.0395,2627.398,2677.398,0.9,4.28,2642.098,2647.275,-60.0,285.13,-0.06,0.27,20.0,Exit,66.6667,1040.0
2025-01-06 10:05:00,2025-01-06 10:06:00,2631.965,2632.995,short,-68.67,-68.67,0.0,-0.0716,2617.575,2667.575,0.87,0.01,2632.835,2631.955,-58.0,0.67,-0.06,0.0,1.0,SL Hit,66.6667,959.33
2025-01-06 18:08:00,2025-01-06 18:09:00,2634.705,2635.465,short,-50.67,-50.67,0.0,-0.0528,2620.305,2670.305,0.66,0.56,2635.365,2634.145,-44.0,37.33,-0.05,0.04,1.0,SL Hit,66.6667,960.0
2025-01-06 18:53:00,2025-01-06 18:54:00,2635.145,2635.845,short,-46.67,-46.67,0.0,-0.0486,2620.745,2670.745,0.91,0.0,2636.055,2635.145,-60.67,0.0,-0.06,0.0,1.0,SL Hit,66.6667,960.0
2025-01-06 19:31:00,2025-01-06 19:32:00,2633.335,2634.985,short,-110.0,-110.0,0.0,-0.1147,2618.945,2668.945,1.33,0.0,2634.665,2633.335,-88.67,0.0,-0.09,0.0,1.0,SL Hit,66.6667,959.33
2025-01-06 21:40:00,2025-01-06 21:41:00,2636.935,2635.648,long,-85.8,-85.8,0.0,-0.0826,2621.355,2671.355,0.76,0.0,2636.175,2636.935,-50.67,0.0,-0.05,0.0,1.0,Exit,66.6667,1038.67
2025-01-07 08:42:00,2025-01-07 08:44:00,2644.255,2642.455,long,-120.0,-120.0,0.0,-0.1155,2628.665,2678.665,1.24,0.0,2643.015,2644.255,-82.67,0.0,-0.08,0.0,2.0,Exit,66.6667,1039.33
2025-01-07 16:07:00,2025-01-07 16:10:00,2650.025,2647.748,long,-151.8,-151.8,0.0,-0.1457,2634.395,2684.395,2.15,0.0,2647.878,2650.025,-143.13,0.0,-0.14,0.0,3.0,Exit,66.6667,1042.0
2025-01-07 16:32:00,2025-01-07 16:34:00,2652.548,2649.948,long,-173.33,-173.33,0.0,-0.1656,2636.848,2686.848,2.43,0.0,2650.115,2652.548,-162.2,0.0,-0.15,0.0,2.0,Exit,66.6667,1046.67
2025-01-07 21:16:00,2025-01-07 21:19:00,2650.475,2649.105,long,-91.33,-91.33,0.0,-0.0879,2634.885,2684.885,0.96,0.0,2649.515,2650.475,-64.0,0.0,-0.06,0.0,3.0,Exit,66.6667,1039.33
2025-01-08 03:29:00,2025-01-08 03:30:00,2646.705,2647.165,short,-30.67,-30.67,0.0,-0.0319,2632.305,2682.305,0.96,0.09,2647.665,2646.615,-64.0,6.0,-0.07,0.01,1.0,SL Hit,66.6667,960.0
2025-01-08 15:07:00,2025-01-08 15:10:00,2665.455,2662.198,long,-217.13,-217.13,0.0,-0.2103,2649.965,2699.965,2.91,0.0,2662.544,2665.455,-194.07,0.0,-0.19,0.0,3.0,Exit,66.6667,1032.67
2025-01-08 17:06:00,2025-01-08 17:07:00,2669.378,2667.398,long,-132.0,-132.0,0.0,-0.1279,2653.898,2703.898,1.78,0.0,2667.598,2669.378,-118.67,0.0,-0.11,0.0,1.0,Exit,66.6667,1032.0
2025-01-08 19:36:00,2025-01-08 19:37:00,2658.744,2656.195,long,-169.93,-169.93,0.0,-0.1635,2643.154,2693.154,2.07,0.0,2656.675,2658.744,-137.93,0.0,-0.13,0.0,1.0,Exit,66.6667,1039.33
2025-01-09 03:25:00,2025-01-09 03:48:00,2660.555,2659.815,long,-49.33,-49.33,0.0,-0.0473,2644.915,2694.915,1.05,1.39,2659.508,2661.945,-69.8,92.67,-0.07,0.09,23.0,Exit,66.6667,1042.67
2025-01-09 09:34:00,2025-01-09 09:37:00,2664.748,2662.935,long,-120.87,-120.87,0.0,-0.1162,2649.144,2699.144,1.68,0.0,2663.065,2664.748,-112.2,0.0,-0.11,0.0,3.0,Exit,66.6667,1040.27
2025-01-09 18:41:00,2025-01-09 18:48:00,2671.158,2669.425,long,-115.53,-115.53,0.0,-0.1104,2655.464,2705.464,1.31,0.33,2669.848,2671.485,-87.33,21.8,-0.08,0.02,7.0,Exit,66.6667,1046.27
