entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-01-04 22:55:00,2025-01-04 22:56:00,3111.445,3111.395,short,0.05,0.05,0.0,0.0,4590.255,4616.775,0.26,0.17,3111.705,3111.275,-0.26,0.17,-0.0,0.0,1.0,TP Hit,1.0,1478.81
2025-01-04 22:57:00,2025-01-04 22:58:00,3110.905,3110.698,short,0.21,0.21,0.0,0.0001,4590.255,4616.775,0.14,0.36,3111.048,3110.548,-0.14,0.36,-0.0,0.0,1.0,TP Hit,1.0,1479.35
2025-01-04 22:59:00,2025-01-04 23:00:00,3111.048,3111.148,short,-0.1,-0.1,0.0,-0.0001,4590.255,4616.775,0.91,0.0,3111.958,3111.048,-0.91,0.0,-0.0,0.0,1.0,TP Hit,1.0,1479.21
2025-01-04 23:09:00,2025-01-04 23:10:00,3111.858,3111.985,short,-0.13,-0.13,0.0,-0.0001,4590.255,4616.775,0.33,0.06,3112.185,3111.795,-0.33,0.06,-0.0,0.0,1.0,TP Hit,1.0,1478.4
2025-01-04 23:11:00,2025-01-04 23:12:00,3112.045,3112.025,short,0.02,0.02,0.0,0.0,4590.255,4616.775,0.22,0.13,3112.265,3111.915,-0.22,0.13,-0.0,0.0,1.0,TP Hit,1.0,1478.21
2025-01-04 23:13:00,2025-01-04 23:14:00,3111.585,3111.605,short,-0.02,-0.02,0.0,-0.0,4590.255,4616.775,0.26,0.57,3111.845,3111.015,-0.26,0.57,-0.0,0.0,1.0,TP Hit,1.0,1478.67
2025-01-04 23:16:00,2025-01-04 23:17:00,3112.108,3112.018,short,0.09,0.09,0.0,0.0001,4590.255,4616.775,0.45,0.09,3112.558,3112.018,-0.45,0.09,-0.0,0.0,1.0,TP Hit,1.0,1478.15
2025-01-04 23:29:00,2025-01-04 23:30:00,3112.425,3112.455,short,-0.03,-0.03,0.0,-0.0,4590.255,4616.775,0.21,0.0,3112.635,3112.425,-0.21,0.0,-0.0,0.0,1.0,TP Hit,1.0,1477.83
2025-01-04 23:31:00,2025-01-04 23:32:00,3111.865,3111.845,short,0.02,0.02,0.0,0.0,4590.255,4616.775,0.31,0.18,3112.175,3111.685,-0.31,0.18,-0.0,0.0,1.0,TP Hit,1.0,1478.39
2025-01-04 23:33:00,2025-01-04 23:34:00,3111.765,3111.795,short,-0.03,-0.03,0.0,-0.0,4590.255,4616.775,0.16,0.44,3111.928,3111.325,-0.16,0.44,-0.0,0.0,1.0,TP Hit,1.0,1478.49
