entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-01-01 23:41:00,2025-01-01 23:46:00,2622.955,2621.655,long,-49.57,-49.57,0.0,0.0,,,1.48,0.0,2621.475,2622.955,-56.44,0.0,0.0,0.0,5.0,Exit,38.1337,0.0
2025-01-01 23:53:00,2025-01-02 00:00:00,2623.275,2623.428,short,-5.83,-5.83,0.0,0.0,,,0.97,0.83,2624.245,2622.448,-36.97,31.52,0.0,0.0,7.0,Exit,38.1119,0.0
2025-01-02 00:06:00,2025-01-02 00:31:00,2623.398,2626.355,short,-112.69,-112.69,0.0,0.0,,,2.91,0.0,2626.305,2623.398,-110.79,0.0,0.0,0.0,25.0,Exit,38.1098,0.0
2025-01-02 00:35:00,2025-01-02 00:39:00,2626.135,2625.515,long,-23.61,-23.61,0.0,0.0,,,0.7,0.1,2625.435,2626.235,-26.66,3.81,0.0,0.0,4.0,Exit,38.0879,0.0
2025-01-02 00:44:00,2025-01-02 00:49:00,2626.505,2627.295,short,-30.07,-30.07,0.0,0.0,,,1.26,0.0,2627.765,2626.505,-47.96,0.0,0.0,0.0,5.0,Exit,38.0647,0.0
2025-01-02 00:58:00,2025-01-02 01:03:00,2626.484,2625.255,long,-46.8,-46.8,0.0,0.0,,,2.84,0.0,2623.645,2626.484,-108.12,0.0,0.0,0.0,5.0,Exit,38.0821,0.0
2025-01-02 01:05:00,2025-01-02 01:21:00,2626.455,2630.705,short,-161.78,-161.78,0.0,0.0,,,5.34,0.0,2631.798,2626.455,-203.38,0.0,0.0,0.0,16.0,Exit,38.0655,0.0
2025-01-02 01:40:00,2025-01-02 01:56:00,2633.565,2632.305,long,-47.85,-47.85,0.0,0.0,,,2.16,0.18,2631.408,2633.748,-81.92,6.95,0.0,0.0,16.0,Exit,37.9802,0.0
2025-01-02 02:01:00,2025-01-02 02:03:00,2633.398,2633.425,short,-1.03,-1.03,0.0,0.0,,,1.11,0.67,2634.505,2632.725,-42.03,25.55,0.0,0.0,2.0,Exit,37.9651,0.0
2025-01-02 02:23:00,2025-01-02 02:25:00,2635.048,2635.395,short,-13.17,-13.17,0.0,0.0,,,1.25,0.25,2636.298,2634.795,-47.43,9.6,0.0,0.0,2.0,Exit,37.9412,0.0
2025-01-02 02:43:00,2025-01-02 02:50:00,2633.754,2632.948,long,-30.61,-30.61,0.0,0.0,,,1.61,0.0,2632.148,2633.754,-60.99,0.0,0.0,0.0,7.0,Exit,37.9759,0.0
2025-01-02 02:59:00,2025-01-02 03:05:00,2634.278,2633.948,short,12.52,12.52,0.0,0.0,,,0.92,0.95,2635.198,2633.324,-34.92,36.21,0.0,0.0,6.0,Exit,37.9529,0.0
2025-01-02 03:24:00,2025-01-02 03:27:00,2633.565,2634.045,short,-18.22,-18.22,0.0,0.0,,,0.98,0.33,2634.548,2633.238,-37.32,12.41,0.0,0.0,3.0,Exit,37.9629,0.0
2025-01-02 03:39:00,2025-01-02 03:43:00,2632.825,2632.425,long,-15.2,-15.2,0.0,0.0,,,0.76,0.37,2632.065,2633.198,-28.87,14.17,0.0,0.0,4.0,Exit,37.9905,0.0
2025-01-02 03:46:00,2025-01-02 03:50:00,2632.998,2633.225,short,-8.62,-8.62,0.0,0.0,,,0.64,0.42,2633.635,2632.575,-24.19,16.06,0.0,0.0,4.0,Exit,37.9723,0.0
2025-01-02 04:46:00,2025-01-02 04:47:00,2631.775,2631.898,long,4.67,4.67,0.0,0.0,,,0.7,0.82,2631.074,2632.598,-26.64,31.28,0.0,0.0,1.0,Exit,38.0051,0.0
2025-01-02 05:29:00,2025-01-02 05:43:00,2634.148,2636.148,short,-75.91,-75.91,0.0,0.0,,,2.14,0.0,2636.284,2634.148,-81.07,0.0,0.0,0.0,14.0,Exit,37.9557,0.0
2025-01-02 05:45:00,2025-01-02 06:11:00,2635.334,2631.774,long,-135.12,-135.12,0.0,0.0,,,3.66,0.0,2631.674,2635.334,-138.92,0.0,0.0,0.0,26.0,Exit,37.9555,0.0
2025-01-02 06:23:00,2025-01-02 06:42:00,2632.348,2634.354,short,-76.19,-76.19,0.0,0.0,,,2.14,0.0,2634.485,2632.348,-81.16,0.0,0.0,0.0,19.0,Exit,37.9802,0.0
2025-01-02 06:50:00,2025-01-02 07:05:00,2634.125,2633.698,long,-16.21,-16.21,0.0,0.0,,,0.8,0.4,2633.328,2634.524,-30.26,15.15,0.0,0.0,15.0,Exit,37.9709,0.0
2025-01-02 07:16:00,2025-01-02 07:19:00,2634.115,2634.048,long,-2.54,-2.54,0.0,0.0,,,0.6,0.63,2633.515,2634.748,-22.78,24.04,0.0,0.0,3.0,Exit,37.9722,0.0
2025-01-02 07:25:00,2025-01-02 07:27:00,2634.748,2635.305,short,-21.14,-21.14,0.0,0.0,,,1.05,0.1,2635.798,2634.648,-39.84,3.79,0.0,0.0,2.0,Exit,37.9457,0.0
2025-01-02 07:30:00,2025-01-02 07:52:00,2634.675,2633.148,long,-57.97,-57.97,0.0,0.0,,,1.88,0.0,2632.798,2634.675,-71.26,0.0,0.0,0.0,22.0,Exit,37.9633,0.0
2025-01-02 07:55:00,2025-01-02 08:08:00,2633.848,2636.205,short,-89.47,-89.47,0.0,0.0,,,2.99,0.0,2636.838,2633.848,-113.5,0.0,0.0,0.0,13.0,Exit,37.9586,0.0
2025-01-02 08:11:00,2025-01-02 08:29:00,2635.275,2632.485,long,-105.89,-105.89,0.0,0.0,,,4.12,0.0,2631.155,2635.275,-156.37,0.0,0.0,0.0,18.0,Exit,37.9548,0.0
2025-01-02 08:42:00,2025-01-02 08:49:00,2634.875,2636.348,short,-55.89,-55.89,0.0,0.0,,,2.68,0.0,2637.558,2634.875,-101.8,0.0,0.0,0.0,7.0,Exit,37.9438,0.0
2025-01-02 09:03:00,2025-01-02 09:09:00,2638.548,2638.734,short,-7.05,-7.05,0.0,0.0,,,0.72,0.65,2639.264,2637.898,-27.13,24.63,0.0,0.0,6.0,Exit,37.891,0.0
2025-01-02 09:13:00,2025-01-02 09:27:00,2637.848,2638.348,long,18.96,18.96,0.0,0.0,,,0.81,1.1,2637.034,2638.948,-30.86,41.71,0.0,0.0,14.0,Exit,37.9169,0.0
2025-01-02 10:02:00,2025-01-02 10:09:00,2635.275,2634.765,long,-19.36,-19.36,0.0,0.0,,,2.74,0.17,2632.535,2635.448,-104.0,6.57,0.0,0.0,7.0,Exit,37.9549,0.0
2025-01-02 10:11:00,2025-01-02 10:32:00,2635.725,2643.814,short,-306.83,-306.83,0.0,0.0,,,10.37,0.0,2646.098,2635.725,-393.46,0.0,0.0,0.0,21.0,Exit,37.9316,0.0
2025-01-02 10:49:00,2025-01-02 10:57:00,2642.924,2641.748,long,-44.51,-44.51,0.0,0.0,,,2.66,0.63,2640.268,2643.554,-100.52,23.84,0.0,0.0,8.0,Exit,37.8449,0.0
2025-01-02 11:01:00,2025-01-02 11:19:00,2642.415,2643.498,short,-40.98,-40.98,0.0,0.0,,,2.05,0.16,2644.468,2642.255,-77.68,6.05,0.0,0.0,18.0,Exit,37.8362,0.0
2025-01-02 11:23:00,2025-01-02 11:30:00,2642.575,2640.984,long,-60.22,-60.22,0.0,0.0,,,2.23,0.0,2640.348,2642.575,-84.29,0.0,0.0,0.0,7.0,Exit,37.8509,0.0
2025-01-02 12:06:00,2025-01-02 12:18:00,2641.225,2640.648,long,-21.85,-21.85,0.0,0.0,,,1.08,0.22,2640.148,2641.448,-40.79,8.45,0.0,0.0,12.0,Exit,37.87,0.0
2025-01-02 12:29:00,2025-01-02 12:38:00,2641.885,2644.605,short,-102.93,-102.93,0.0,0.0,,,3.21,0.0,2645.098,2641.885,-121.59,0.0,0.0,0.0,9.0,Exit,37.8433,0.0
2025-01-02 12:42:00,2025-01-02 12:45:00,2643.775,2645.018,long,47.03,47.03,0.0,0.0,,,0.88,2.38,2642.895,2646.158,-33.29,90.16,0.0,0.0,3.0,Exit,37.833,0.0
2025-01-02 12:47:00,2025-01-02 12:50:00,2645.498,2645.265,short,8.8,8.8,0.0,0.0,,,0.6,0.86,2646.098,2644.635,-22.67,32.61,0.0,0.0,3.0,Exit,37.7897,0.0
2025-01-02 13:01:00,2025-01-02 13:21:00,2642.295,2638.305,long,-151.04,-151.04,0.0,0.0,,,6.43,0.84,2635.865,2643.135,-243.4,31.8,0.0,0.0,20.0,Exit,37.8542,0.0
2025-01-02 13:28:00,2025-01-02 13:31:00,2638.825,2638.115,short,26.9,26.9,0.0,0.0,,,2.07,1.54,2640.895,2637.285,-78.43,58.35,0.0,0.0,3.0,Exit,37.887,0.0
2025-01-02 13:49:00,2025-01-02 13:58:00,2640.955,2644.284,short,-126.03,-126.03,0.0,0.0,,,6.18,0.0,2647.135,2640.955,-233.96,0.0,0.0,0.0,9.0,Exit,37.8569,0.0
2025-01-02 14:02:00,2025-01-02 14:12:00,2641.175,2643.725,long,96.57,96.57,0.0,0.0,,,1.04,3.27,2640.135,2644.445,-39.39,123.84,0.0,0.0,10.0,Exit,37.8724,0.0
2025-01-02 14:15:00,2025-01-02 14:35:00,2646.175,2648.405,short,-84.25,-84.25,0.0,0.0,,,3.81,0.26,2649.985,2645.915,-143.95,9.82,0.0,0.0,20.0,Exit,37.7818,0.0
2025-01-02 14:52:00,2025-01-02 15:05:00,2647.855,2647.798,long,-2.15,-2.15,0.0,0.0,,,2.87,1.31,2644.985,2649.165,-108.41,49.49,0.0,0.0,13.0,Exit,37.7751,0.0
2025-01-02 15:32:00,2025-01-02 15:41:00,2649.135,2652.198,short,-115.6,-115.6,0.0,0.0,,,4.38,0.0,2653.514,2649.135,-165.26,0.0,0.0,0.0,9.0,Exit,37.7398,0.0
2025-01-02 16:01:00,2025-01-02 16:09:00,2653.355,2651.955,long,-52.77,-52.77,0.0,0.0,,,3.56,0.0,2649.794,2653.355,-134.24,0.0,0.0,0.0,8.0,Exit,37.6962,0.0
2025-01-02 17:17:00,2025-01-02 17:20:00,2657.564,2658.105,long,20.36,20.36,0.0,0.0,,,1.25,1.16,2656.314,2658.725,-47.05,43.7,0.0,0.0,3.0,Exit,37.6369,0.0
2025-01-02 17:22:00,2025-01-02 17:26:00,2659.048,2657.898,short,43.24,43.24,0.0,0.0,,,0.8,1.83,2659.848,2657.214,-30.08,68.96,0.0,0.0,4.0,Exit,37.599,0.0
2025-01-02 17:31:00,2025-01-02 17:51:00,2655.484,2653.475,long,-75.67,-75.67,0.0,0.0,,,3.14,0.0,2652.348,2655.484,-118.12,0.0,0.0,0.0,20.0,Exit,37.6664,0.0
2025-01-02 17:53:00,2025-01-02 18:09:00,2654.214,2658.338,short,-155.34,-155.34,0.0,0.0,,,4.44,0.12,2658.658,2654.095,-167.39,4.48,0.0,0.0,16.0,Exit,37.6674,0.0
2025-01-02 18:25:00,2025-01-02 18:36:00,2656.235,2655.075,long,-43.68,-43.68,0.0,0.0,,,2.51,0.63,2653.725,2656.864,-94.52,23.69,0.0,0.0,11.0,Exit,37.657,0.0
2025-01-02 19:02:00,2025-01-02 19:06:00,2655.325,2654.598,long,-27.39,-27.39,0.0,0.0,,,0.93,0.34,2654.398,2655.664,-34.92,12.77,0.0,0.0,4.0,Exit,37.6691,0.0
2025-01-02 19:27:00,2025-01-02 19:30:00,2655.055,2655.515,short,-17.32,-17.32,0.0,0.0,,,0.89,0.41,2655.948,2654.648,-33.63,15.33,0.0,0.0,3.0,Exit,37.6552,0.0
2025-01-02 19:36:00,2025-01-02 19:39:00,2655.548,2656.585,short,-39.04,-39.04,0.0,0.0,,,1.5,0.0,2657.048,2655.548,-56.47,0.0,0.0,0.0,3.0,Exit,37.648,0.0
2025-01-02 19:42:00,2025-01-02 20:05:00,2655.505,2654.535,long,-36.53,-36.53,0.0,0.0,,,1.52,0.04,2653.985,2655.545,-57.25,1.51,0.0,0.0,23.0,Exit,37.6649,0.0
2025-01-02 20:08:00,2025-01-02 20:32:00,2655.148,2660.448,short,-199.57,-199.57,0.0,0.0,,,5.23,0.0,2660.375,2655.148,-196.82,0.0,0.0,0.0,24.0,Exit,37.6542,0.0
2025-01-02 21:01:00,2025-01-02 21:06:00,2659.298,2660.245,short,-35.6,-35.6,0.0,0.0,,,0.85,0.0,2660.148,2659.298,-31.96,0.0,0.0,0.0,5.0,Exit,37.5954,0.0
2025-01-02 21:15:00,2025-01-02 21:35:00,2659.498,2656.748,long,-103.43,-103.43,0.0,0.0,,,3.08,0.0,2656.415,2659.498,-115.95,0.0,0.0,0.0,20.0,Exit,37.6095,0.0
2025-01-02 23:17:00,2025-01-02 23:32:00,2657.698,2659.085,short,-52.18,-52.18,0.0,0.0,,,1.15,0.0,2658.848,2657.698,-43.26,0.0,0.0,0.0,15.0,Exit,37.6181,0.0
2025-01-02 23:47:00,2025-01-02 23:54:00,2659.458,2657.608,long,-69.58,-69.58,0.0,0.0,,,1.67,0.0,2657.788,2659.458,-62.81,0.0,0.0,0.0,7.0,Exit,37.6096,0.0
2025-01-02 23:57:00,2025-01-03 00:20:00,2657.795,2660.005,short,-83.13,-83.13,0.0,0.0,,,3.19,0.0,2660.985,2657.795,-120.0,0.0,0.0,0.0,23.0,Exit,37.6166,0.0
2025-01-03 01:01:00,2025-01-03 01:02:00,2660.915,2660.698,short,8.15,8.15,0.0,0.0,,,1.16,1.15,2662.075,2659.765,-43.58,43.21,0.0,0.0,1.0,Exit,37.5726,0.0
2025-01-03 01:47:00,2025-01-03 02:02:00,2657.585,2658.475,short,-33.48,-33.48,0.0,0.0,,,2.39,0.0,2659.975,2657.585,-89.91,0.0,0.0,0.0,15.0,Exit,37.6197,0.0
2025-01-03 02:04:00,2025-01-03 02:08:00,2657.244,2658.105,long,32.41,32.41,0.0,0.0,,,1.22,2.05,2656.025,2659.298,-45.88,77.32,0.0,0.0,4.0,Exit,37.6415,0.0
