entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-01-02 16:10:00,2025-01-02 16:32:00,2653.124,2654.648,long,649.62,649.62,0.0,0.5228,2650.209,2658.42,1.07,4.72,2652.058,2657.848,-454.39,2013.64,-0.37,1.62,22.0,Exit,426.2575,1242.54
2025-01-03 14:01:00,2025-01-03 14:02:00,2648.205,2648.975,short,-349.0,-349.0,0.0,-0.4794,2646.59871,2654.32071,1.42,0.18,2649.625,2648.025,-643.62,81.59,-0.88,0.11,1.0,SL Hit,453.2505,728.05
2025-01-06 12:03:00,2025-01-06 12:04:00,2646.455,2644.604,long,-1037.39,-1037.39,0.0,-0.7741,2644.06371,2650.30871,1.38,0.39,2645.074,2646.848,-773.98,220.26,-0.58,0.16,1.0,Exit,560.4484,1340.19
2025-01-06 14:14:00,2025-01-06 14:15:00,2626.125,2627.498,short,-352.59,-352.59,0.0,-0.4134,2622.804,2636.433,2.37,2.48,2628.498,2623.645,-609.4,636.88,-0.71,0.75,1.0,SL Hit,256.8053,852.85
2025-01-07 14:13:00,2025-01-07 14:14:00,2661.548,2658.16643,long,-1482.12,-1482.12,0.0,-1.1735,2658.66643,2666.65193,3.16,0.0,2658.384,2661.548,-1386.76,0.0,-1.1,0.0,1.0,SL Hit,438.2944,1262.98
2025-01-07 15:57:00,2025-01-07 15:58:00,2647.735,2648.865,short,-401.42,-401.42,0.0,-0.5011,2645.48,2655.3325,1.06,0.09,2648.795,2647.645,-376.55,31.97,-0.47,0.04,1.0,SL Hit,355.2398,801.07
2025-01-08 13:39:00,2025-01-08 13:48:00,2657.495,2655.868,long,-467.53,-467.53,0.0,-0.414,2653.565,2665.745,2.34,1.2,2655.154,2658.695,-672.7,344.83,-0.6,0.31,9.0,Exit,287.3563,1129.31
2025-01-10 14:50:00,2025-01-10 14:54:00,2687.984,2685.774,long,-407.82,-407.82,0.0,-0.3734,2682.065,2701.0315,1.65,2.0,2686.334,2689.984,-304.48,369.07,-0.28,0.34,4.0,Exit,184.5359,1092.27
2025-01-10 15:51:00,2025-01-10 15:57:00,2694.825,2691.664,long,-835.9,-835.9,0.0,-0.7196,2690.43243,2703.66793,2.85,1.43,2691.978,2696.254,-752.86,377.89,-0.65,0.33,6.0,Exit,264.4403,1161.57
2025-01-13 10:41:00,2025-01-13 10:42:00,2678.965,2679.155,short,-85.1,-85.1,0.0,-0.1164,2677.33243,2685.14643,0.63,0.91,2679.595,2678.055,-282.19,407.6,-0.39,0.56,1.0,SL Hit,447.914,731.25
