entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-01-01 23:58:00,2025-01-02 00:09:00,2623.435,2625.905,short,-0.25,-0.25,0.0,0.0,,,1.87,0.99,2625.305,2622.448,-0.19,0.1,0.0,0.0,11.0,Exit,0.1,0.0
2025-01-02 00:59:00,2025-01-02 01:13:00,2626.455,2629.255,long,0.28,0.28,0.0,0.0,,,2.81,4.25,2623.645,2630.705,-0.28,0.43,0.0,0.0,14.0,Exit,0.1,0.0
2025-01-02 01:51:00,2025-01-02 02:01:00,2632.905,2633.898,long,0.1,0.1,0.0,0.0,,,1.41,1.59,2631.498,2634.498,-0.14,0.16,0.0,0.0,10.0,Exit,0.1,0.0
2025-01-02 02:45:00,2025-01-02 02:49:00,2633.654,2632.148,long,-0.15,-0.15,0.0,0.0,,,1.51,0.0,2632.148,2633.654,-0.15,0.0,0.0,0.0,4.0,Exit,0.1,0.0
2025-01-02 05:49:00,2025-01-02 06:01:00,2635.044,2632.448,long,-0.26,-0.26,0.0,0.0,,,2.15,0.15,2632.898,2635.198,-0.21,0.02,0.0,0.0,12.0,Exit,0.1,0.0
2025-01-02 06:30:00,2025-01-02 06:33:00,2633.474,2634.274,short,-0.08,-0.08,0.0,0.0,,,0.8,0.0,2634.274,2633.474,-0.08,0.0,0.0,0.0,3.0,Exit,0.1,0.0
2025-01-02 07:02:00,2025-01-02 07:35:00,2634.148,2632.465,long,-0.17,-0.17,0.0,0.0,,,1.32,1.65,2632.828,2635.798,-0.13,0.17,0.0,0.0,33.0,Exit,0.1,0.0
2025-01-02 08:19:00,2025-01-02 08:22:00,2635.008,2632.775,long,-0.22,-0.22,0.0,0.0,,,1.65,0.0,2633.355,2635.008,-0.17,0.0,0.0,0.0,3.0,Exit,0.1,0.0
2025-01-02 09:26:00,2025-01-02 09:54:00,2638.148,2636.048,long,-0.21,-0.21,0.0,0.0,,,1.97,1.64,2636.178,2639.785,-0.2,0.16,0.0,0.0,28.0,Exit,0.1,0.0
2025-01-02 10:54:00,2025-01-02 11:09:00,2643.225,2643.425,long,0.02,0.02,0.0,0.0,,,1.6,0.98,2641.628,2644.208,-0.16,0.1,0.0,0.0,15.0,Exit,0.1,0.0
2025-01-02 12:27:00,2025-01-02 12:28:00,2640.955,2643.075,short,-0.21,-0.21,0.0,0.0,,,1.64,0.0,2642.595,2640.955,-0.16,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-01-02 13:02:00,2025-01-02 13:04:00,2641.865,2641.045,long,-0.08,-0.08,0.0,0.0,,,1.3,0.11,2640.565,2641.975,-0.13,0.01,0.0,0.0,2.0,Exit,0.1,0.0
2025-01-02 14:11:00,2025-01-02 14:15:00,2643.285,2647.828,long,0.45,0.45,0.0,0.0,,,0.86,5.62,2642.424,2648.905,-0.09,0.56,0.0,0.0,4.0,Exit,0.1,0.0
