entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-01-02 00:05:00,2025-01-02 00:06:00,2622.085,2624.498,short,-1473.33,-1473.33,0.0,-2.5194,2621.12721,2626.85946,2.01,0.0,2624.098,2622.085,-1229.1,0.0,-2.1,0.0,1.0,SL Hit,610.5805,584.81
2025-01-02 01:04:00,2025-01-02 01:17:00,2626.485,2631.14464,long,2202.25,2202.25,0.0,1.697,2623.73914,2631.14464,1.04,4.66,2625.448,2631.145,-490.11,2202.42,-0.38,1.7,13.0,TP Hit,472.6217,1297.75
2025-01-02 01:56:00,2025-01-02 01:58:00,2633.048,2631.755,long,-600.88,-600.88,0.0,-0.4876,2630.39614,2637.92764,0.81,0.1,2632.235,2633.145,-377.81,45.08,-0.31,0.04,2.0,Exit,464.7149,1232.36
2025-01-02 02:00:00,2025-01-02 02:03:00,2633.335,2632.225,long,-505.42,-505.42,0.0,-0.397,2630.53879,2638.22554,0.94,1.17,2632.398,2634.505,-426.64,532.73,-0.34,0.42,3.0,Exit,455.329,1273.2
2025-01-02 02:40:00,2025-01-02 02:41:00,2635.965,2633.905,long,-937.06,-937.06,0.0,-0.7361,2633.16664,2640.86089,1.63,0.0,2634.334,2635.965,-741.92,0.0,-0.58,0.0,1.0,Exit,454.8851,1272.93
2025-01-02 05:50:00,2025-01-02 05:51:00,2635.598,2633.898,long,-956.05,-956.05,0.0,-0.686,2633.11986,2639.34336,1.1,0.0,2634.498,2635.598,-618.62,0.0,-0.44,0.0,1.0,Exit,562.3845,1393.67
2025-01-02 09:48:00,2025-01-02 09:51:00,2638.248,2636.248,long,-1252.12,-1252.12,0.0,-0.9102,2636.05071,2641.64121,1.4,0.0,2636.848,2638.248,-876.49,0.0,-0.64,0.0,3.0,Exit,626.0621,1375.64
2025-01-02 10:42:00,2025-01-02 10:45:00,2645.294,2642.218,long,-1145.17,-1145.17,0.0,-0.9204,2641.95193,2651.35318,2.66,0.0,2642.634,2645.294,-990.29,0.0,-0.8,0.0,3.0,Exit,372.2909,1244.22
2025-01-02 11:01:00,2025-01-02 11:02:00,2643.615,2641.915,long,-554.27,-554.27,0.0,-0.4586,2639.90793,2650.64268,1.36,0.0,2642.255,2643.615,-443.42,0.0,-0.37,0.0,1.0,Exit,326.0439,1208.67
2025-01-02 12:05:00,2025-01-02 12:06:00,2640.424,2641.125,short,-411.75,-411.75,0.0,-0.6358,2639.3215,2645.28025,0.69,0.0,2641.114,2640.424,-405.29,0.0,-0.63,0.0,1.0,SL Hit,587.3715,647.58
2025-01-02 13:40:00,2025-01-02 13:41:00,2638.235,2639.635,short,-315.12,-315.12,0.0,-0.3721,2634.47221,2650.02196,1.24,0.0,2639.475,2638.235,-279.1,0.0,-0.33,0.0,1.0,SL Hit,225.084,846.94
2025-01-02 14:11:00,2025-01-02 14:36:00,2643.285,2646.285,long,660.28,660.28,0.0,0.5905,2638.2045,2654.10675,0.86,6.7,2642.424,2649.985,-189.5,1474.63,-0.17,1.32,25.0,Exit,220.0946,1118.19
2025-01-02 14:54:00,2025-01-02 14:55:00,2649.248,2647.448,long,-463.88,-463.88,0.0,-0.4018,2644.76771,2658.34871,1.4,0.0,2647.848,2649.248,-360.8,0.0,-0.31,0.0,1.0,Exit,257.713,1154.63
2025-01-02 15:09:00,2025-01-02 15:10:00,2649.875,2645.998,long,-997.56,-997.56,0.0,-0.8326,2645.2185,2658.82125,3.52,0.0,2646.355,2649.875,-905.7,0.0,-0.76,0.0,1.0,Exit,257.3009,1198.12
2025-01-02 15:24:00,2025-01-02 15:27:00,2649.475,2647.395,long,-639.4,-639.4,0.0,-0.5412,2645.63193,2657.01768,1.71,0.0,2647.765,2649.475,-525.66,0.0,-0.44,0.0,3.0,Exit,307.4018,1181.37
2025-01-02 16:10:00,2025-01-02 16:32:00,2653.124,2654.648,long,433.08,433.08,0.0,0.3728,2649.036,2661.3525,1.07,4.72,2652.058,2657.848,-302.93,1342.43,-0.26,1.16,22.0,Exit,284.1716,1161.69
2025-01-02 17:14:00,2025-01-02 17:15:00,2659.564,2657.464,long,-883.84,-883.84,0.0,-0.7056,2656.588,2664.904,1.56,0.0,2658.004,2659.564,-656.57,0.0,-0.52,0.0,1.0,Exit,420.8754,1252.53
2025-01-02 17:21:00,2025-01-02 17:23:00,2659.315,2657.825,long,-598.24,-598.24,0.0,-0.4805,2656.21436,2664.93161,1.17,0.53,2658.148,2659.848,-468.55,214.0,-0.38,0.17,2.0,Exit,401.5028,1244.92
2025-01-02 18:28:00,2025-01-02 18:29:00,2657.268,2654.198,long,-1441.02,-1441.02,0.0,-1.1479,2654.59357,2662.05007,2.47,0.0,2654.798,2657.268,-1159.39,0.0,-0.92,0.0,1.0,Exit,469.3891,1255.35
