entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-01-02 00:05:00,2025-01-02 00:06:00,2623.285,2623.325,long,13.96,13.96,0.0,0.0118,2619.89887,2625.63112,0.61,0.81,2622.675,2624.098,-212.83,283.66,-0.18,0.24,1.0,Exit,348.9031,1181.43
2025-01-02 01:04:00,2025-01-02 01:05:00,2625.285,2627.555,short,-613.06,-613.06,0.0,-0.7246,2622.15225,2629.55775,2.86,0.0,2628.148,2625.285,-773.21,0.0,-0.91,0.0,1.0,SL Hit,270.0695,846.06
2025-01-02 01:56:00,2025-01-02 01:57:00,2631.848,2633.405,short,-413.46,-413.46,0.0,-0.5079,2628.78225,2636.31375,1.3,0.0,2633.145,2631.848,-344.42,0.0,-0.42,0.0,1.0,SL Hit,265.5514,814.11
2025-01-02 02:00:00,2025-01-02 02:01:00,2632.135,2634.498,short,-614.82,-614.82,0.0,-0.7286,2628.89163,2636.57838,2.36,0.0,2634.498,2632.135,-614.82,0.0,-0.73,0.0,1.0,SL Hit,260.188,843.89
2025-01-02 02:40:00,2025-01-02 02:41:00,2634.765,2635.725,short,-249.54,-249.54,0.0,-0.2956,2631.51788,2639.21212,0.6,0.43,2635.365,2634.334,-155.96,112.03,-0.18,0.13,1.0,SL Hit,259.9344,844.04
2025-01-02 05:50:00,2025-01-02 05:51:00,2634.398,2635.144,short,-239.74,-239.74,0.0,-0.2856,2631.78625,2638.00975,0.8,0.0,2635.198,2634.398,-257.09,0.0,-0.31,0.0,1.0,SL Hit,321.3626,839.32
2025-01-02 09:48:00,2025-01-02 09:49:00,2637.048,2637.748,short,-250.42,-250.42,0.0,-0.3189,2634.85275,2640.44325,0.7,0.0,2637.748,2637.048,-250.42,0.0,-0.32,0.0,1.0,SL Hit,357.7498,785.35
2025-01-02 10:42:00,2025-01-02 10:43:00,2644.094,2645.484,short,-295.71,-295.71,0.0,-0.3344,2639.93737,2649.33862,0.96,0.26,2645.058,2643.838,-205.08,54.46,-0.23,0.06,1.0,SL Hit,212.7377,884.27
2025-01-02 11:01:00,2025-01-02 11:02:00,2642.415,2642.865,short,-83.84,-83.84,0.0,-0.0936,2637.60763,2648.34237,0.61,0.16,2643.025,2642.255,-113.65,29.81,-0.13,0.03,1.0,SL Hit,186.3108,895.67
2025-01-02 12:05:00,2025-01-02 12:18:00,2641.624,2640.648,long,-327.59,-327.59,0.0,-0.2727,2638.04462,2644.00337,1.48,0.0,2640.148,2641.624,-495.41,0.0,-0.41,0.0,13.0,Exit,335.6409,1201.38
2025-01-02 13:40:00,2025-01-02 13:47:00,2639.435,2639.898,long,59.55,59.55,0.0,0.0558,2631.14012,2646.68988,1.46,1.1,2637.975,2640.535,-187.78,141.48,-0.18,0.13,7.0,Exit,128.6194,1066.88
2025-01-02 14:11:00,2025-01-02 14:12:00,2642.085,2643.555,short,-184.88,-184.88,0.0,-0.2017,2634.79688,2650.69912,2.36,0.0,2644.445,2642.085,-296.81,0.0,-0.32,0.0,1.0,SL Hit,125.7684,916.62
2025-01-02 14:54:00,2025-01-02 14:55:00,2648.048,2649.335,short,-189.53,-189.53,0.0,-0.2079,2641.8575,2655.4385,1.12,0.2,2649.165,2647.848,-164.49,29.45,-0.18,0.03,1.0,SL Hit,147.2646,911.64
2025-01-02 15:09:00,2025-01-02 15:10:00,2648.675,2648.998,short,-47.49,-47.49,0.0,-0.0507,2642.30362,2655.90638,0.74,2.32,2649.415,2646.355,-108.8,341.11,-0.12,0.36,1.0,SL Hit,147.0291,936.78
2025-01-02 15:24:00,2025-01-02 15:25:00,2648.275,2649.348,short,-188.48,-188.48,0.0,-0.2111,2643.19213,2654.57788,0.83,0.0,2649.105,2648.275,-145.8,0.0,-0.16,0.0,1.0,SL Hit,175.6582,892.85
