entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-01-02 00:06:00,2025-01-02 00:07:00,2623.398,2624.415,short,-186.97,-186.97,0.0,-0.2102,2618.55871,2626.17371,0.7,0.0,2624.098,2623.398,-128.69,0.0,-0.14,0.0,1.0,SL Hit,183.8477,889.69
2025-01-02 00:33:00,2025-01-02 00:34:00,2625.425,2626.185,short,-358.25,-358.25,0.0,-0.5347,2624.00357,2626.97357,0.6,0.19,2626.025,2625.235,-282.83,89.56,-0.42,0.13,1.0,SL Hit,471.3805,670.03
2025-01-02 00:38:00,2025-01-02 00:39:00,2625.398,2626.555,short,-485.33,-485.33,0.0,-0.6299,2623.56107,2626.89857,0.84,0.0,2626.235,2625.398,-351.1,0.0,-0.46,0.0,1.0,SL Hit,419.4757,770.55
2025-01-02 01:43:00,2025-01-02 01:44:00,2632.258,2633.948,short,-313.59,-313.59,0.0,-0.3596,2627.55871,2635.10371,1.49,0.0,2633.748,2632.258,-276.47,0.0,-0.32,0.0,1.0,SL Hit,185.5533,871.97
2025-01-02 01:49:00,2025-01-02 01:50:00,2631.555,2632.545,short,-206.83,-206.83,0.0,-0.2331,2627.30839,2634.00964,0.85,0.15,2632.405,2631.408,-177.58,30.71,-0.2,0.03,1.0,SL Hit,208.9162,887.19
2025-01-02 01:55:00,2025-01-02 01:56:00,2631.735,2632.948,short,-292.48,-292.48,0.0,-0.3391,2628.15768,2633.96393,1.22,0.0,2632.955,2631.735,-294.17,0.0,-0.34,0.0,1.0,SL Hit,241.1195,862.56
2025-01-02 02:33:00,2025-01-02 02:34:00,2634.085,2634.848,short,-168.59,-168.59,0.0,-0.1975,2630.22211,2636.55836,0.96,0.0,2635.048,2634.085,-212.78,0.0,-0.25,0.0,1.0,SL Hit,220.9509,853.51
2025-01-02 03:35:00,2025-01-02 03:36:00,2632.985,2633.944,short,-386.22,-386.22,0.0,-0.5269,2631.16496,2634.64121,0.66,0.04,2633.645,2632.948,-265.8,14.9,-0.36,0.02,1.0,SL Hit,402.7328,732.99
2025-01-02 03:45:00,2025-01-02 03:46:00,2632.598,2634.098,short,-463.19,-463.19,0.0,-0.5788,2630.00661,2634.54036,1.04,0.0,2633.635,2632.598,-320.22,0.0,-0.4,0.0,1.0,SL Hit,308.7951,800.21
2025-01-02 03:49:00,2025-01-02 03:54:00,2633.618,2631.955,long,-589.23,-589.23,0.0,-0.5051,2630.32568,2634.27693,1.07,0.0,2632.545,2633.618,-380.18,0.0,-0.33,0.0,5.0,Exit,354.3183,1166.53
2025-01-02 04:02:00,2025-01-02 04:13:00,2633.475,2632.248,long,-600.89,-600.89,0.0,-0.4597,2630.80604,2633.66479,1.56,0.0,2631.915,2633.475,-763.97,0.0,-0.58,0.0,11.0,Exit,489.7245,1307.06
2025-01-02 04:28:00,2025-01-02 04:41:00,2633.248,2631.398,long,-568.45,-568.45,0.0,-0.471,2629.32054,2633.87679,1.45,0.0,2631.798,2633.248,-445.54,0.0,-0.37,0.0,13.0,Exit,307.2702,1206.79
2025-01-02 05:07:00,2025-01-02 05:08:00,2632.614,2633.774,short,-496.64,-496.64,0.0,-0.6817,2630.91229,2634.18229,0.83,0.0,2633.448,2632.614,-357.06,0.0,-0.49,0.0,1.0,SL Hit,428.1346,728.56
2025-01-02 05:11:00,2025-01-02 05:12:00,2633.064,2634.048,short,-448.73,-448.73,0.0,-0.6063,2631.44114,2634.51114,0.68,0.0,2633.748,2633.064,-311.92,0.0,-0.42,0.0,1.0,SL Hit,456.0261,740.07
2025-01-02 05:53:00,2025-01-02 05:54:00,2633.948,2634.934,short,-288.64,-288.64,0.0,-0.3625,2631.22793,2636.01043,0.8,0.0,2634.744,2633.948,-233.02,0.0,-0.29,0.0,1.0,SL Hit,292.7339,796.26
2025-01-02 06:37:00,2025-01-02 06:38:00,2633.094,2634.198,short,-523.27,-523.27,0.0,-0.7264,2631.57418,2634.52793,0.67,0.0,2633.764,2633.094,-317.56,0.0,-0.44,0.0,1.0,SL Hit,473.9738,720.36
2025-01-02 06:40:00,2025-01-02 06:41:00,2633.148,2634.748,short,-835.82,-835.82,0.0,-1.2174,2631.83371,2634.51371,1.2,0.0,2634.348,2633.148,-626.87,0.0,-0.91,0.0,1.0,SL Hit,522.3881,686.57
