entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-01-02 08:13:00,2025-01-02 08:14:00,2634.048,2635.348,short,-52.0,-52.0,0.0,-0.0535,2609.748,2659.748,1.2,0.0,2635.248,2634.048,-48.0,0.0,-0.05,0.0,1.0,SL Hit,40.0,972.0
2025-01-02 10:37:00,2025-01-02 10:38:00,2643.654,2645.058,short,-56.16,-56.16,0.0,-0.0576,2619.264,2669.264,1.89,0.0,2645.548,2643.654,-75.76,0.0,-0.08,0.0,1.0,SL Hit,40.0,975.6
2025-01-02 18:49:00,2025-01-02 18:56:00,2655.294,2654.814,long,-19.2,-19.2,0.0,-0.0188,2629.714,2679.714,0.77,0.22,2654.524,2655.514,-30.8,8.8,-0.03,0.01,7.0,Exit,40.0,1023.2
2025-01-03 21:31:00,2025-01-03 21:39:00,2637.765,2636.668,long,-43.88,-43.88,0.0,-0.0429,2612.165,2662.165,1.14,0.0,2636.625,2637.765,-45.6,0.0,-0.04,0.0,8.0,Exit,40.0,1024.0
2025-01-06 00:45:00,2025-01-06 00:46:00,2639.585,2639.448,long,-5.48,-5.48,0.0,-0.0054,2614.015,2664.015,0.84,0.47,2638.748,2640.055,-33.48,18.8,-0.03,0.02,1.0,Exit,40.0,1022.8
2025-01-06 01:11:00,2025-01-06 01:12:00,2641.798,2643.185,short,-55.48,-55.48,0.0,-0.0568,2617.398,2667.398,2.2,0.0,2643.995,2641.798,-87.88,0.0,-0.09,0.0,1.0,SL Hit,40.0,976.0
2025-01-06 10:05:00,2025-01-06 10:17:00,2633.165,2632.055,long,-44.4,-44.4,0.0,-0.0434,2607.575,2657.575,2.12,0.0,2631.045,2633.165,-84.8,0.0,-0.08,0.0,12.0,Exit,40.0,1023.6
2025-01-06 18:08:00,2025-01-06 18:14:00,2635.905,2634.665,long,-49.6,-49.6,0.0,-0.0484,2610.305,2660.305,2.26,0.0,2633.645,2635.905,-90.4,0.0,-0.09,0.0,6.0,Exit,40.0,1024.0
2025-01-06 18:53:00,2025-01-06 18:56:00,2636.345,2635.285,long,-42.4,-42.4,0.0,-0.0414,2610.745,2660.745,1.03,0.0,2635.315,2636.345,-41.2,0.0,-0.04,0.0,3.0,Exit,40.0,1024.0
2025-01-06 19:31:00,2025-01-06 19:41:00,2634.535,2633.675,long,-34.4,-34.4,0.0,-0.0336,2608.945,2658.945,1.01,0.13,2633.525,2634.665,-40.4,5.2,-0.04,0.01,10.0,Exit,40.0,1023.6
2025-01-06 21:40:00,2025-01-06 21:41:00,2635.735,2636.815,short,-43.2,-43.2,0.0,-0.0443,2611.355,2661.355,0.62,0.0,2636.355,2635.735,-24.8,0.0,-0.03,0.0,1.0,SL Hit,40.0,975.2
2025-01-07 08:42:00,2025-01-07 08:43:00,2643.055,2643.985,short,-37.2,-37.2,0.0,-0.0381,2618.665,2668.665,0.86,0.0,2643.915,2643.055,-34.4,0.0,-0.04,0.0,1.0,SL Hit,40.0,975.6
2025-01-07 16:07:00,2025-01-07 16:08:00,2648.825,2648.648,short,7.08,7.08,0.0,0.0072,2624.395,2674.395,0.65,0.95,2649.475,2647.878,-26.0,37.88,-0.03,0.04,1.0,SL Hit,40.0,977.2
2025-01-07 16:32:00,2025-01-07 16:33:00,2651.348,2651.248,short,4.0,4.0,0.0,0.0041,2626.848,2676.848,1.17,1.23,2652.515,2650.115,-46.68,49.32,-0.05,0.05,1.0,SL Hit,40.0,980.0
2025-01-07 21:16:00,2025-01-07 21:17:00,2649.275,2650.415,short,-45.6,-45.6,0.0,-0.0467,2624.885,2674.885,0.7,0.0,2649.975,2649.275,-28.0,0.0,-0.03,0.0,1.0,SL Hit,40.0,975.6
2025-01-08 03:29:00,2025-01-08 03:45:00,2647.905,2646.515,long,-55.6,-55.6,0.0,-0.0543,2622.305,2672.305,2.51,0.0,2645.395,2647.905,-100.4,0.0,-0.1,0.0,16.0,Exit,40.0,1024.0
2025-01-08 15:07:00,2025-01-08 15:08:00,2664.255,2663.948,short,12.28,12.28,0.0,0.0126,2639.965,2689.965,0.75,1.31,2665.005,2662.948,-30.0,52.28,-0.03,0.05,1.0,SL Hit,40.0,971.6
2025-01-08 17:06:00,2025-01-08 17:07:00,2668.178,2668.198,short,-0.8,-0.8,0.0,-0.0008,2643.898,2693.898,0.92,0.58,2669.098,2667.598,-36.8,23.2,-0.04,0.02,1.0,SL Hit,40.0,971.2
2025-01-08 19:36:00,2025-01-08 19:37:00,2657.544,2658.404,short,-34.4,-34.4,0.0,-0.0353,2633.154,2683.154,0.91,0.87,2658.454,2656.675,-36.4,34.76,-0.04,0.04,1.0,SL Hit,40.0,975.6
2025-01-09 03:25:00,2025-01-09 03:26:00,2659.355,2660.668,short,-52.52,-52.52,0.0,-0.0537,2634.915,2684.915,1.04,0.0,2660.398,2659.355,-41.72,0.0,-0.04,0.0,1.0,SL Hit,40.0,977.6
