entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-01-04 05:57:00,2025-01-04 05:58:00,3133.798,3133.775,long,-0.02,-0.02,0.0,-0.0,4590.255,4616.775,1.61,0.25,3132.188,3134.048,-1.61,0.25,-0.0,0.0,1.0,SL Hit,1.0,1456.46
2025-01-04 05:59:00,2025-01-04 06:00:00,3131.848,3131.848,long,0.0,0.0,0.0,0.0,4590.255,4616.775,3.71,0.0,3128.135,3131.848,-3.71,0.0,-0.0,0.0,1.0,SL Hit,1.0,1458.41
2025-01-04 06:02:00,2025-01-04 06:03:00,3129.698,3129.798,long,0.1,0.1,0.0,0.0001,4590.255,4616.775,3.39,0.24,3126.309,3129.935,-3.39,0.24,-0.0,0.0,1.0,SL Hit,1.0,1460.56
2025-01-04 06:04:00,2025-01-04 06:05:00,3131.599,3131.565,long,-0.03,-0.03,0.0,-0.0,4590.255,4616.775,1.46,0.32,3130.135,3131.915,-1.46,0.32,-0.0,0.0,1.0,SL Hit,1.0,1458.66
2025-01-04 06:06:00,2025-01-04 06:07:00,3131.335,3131.335,long,0.0,0.0,0.0,0.0,4590.255,4616.775,1.57,0.46,3129.769,3131.795,-1.57,0.46,-0.0,0.0,1.0,SL Hit,1.0,1458.92
2025-01-04 06:08:00,2025-01-04 06:09:00,3129.369,3129.449,long,0.08,0.08,0.0,0.0001,4590.255,4616.775,1.34,0.45,3128.025,3129.815,-1.34,0.45,-0.0,0.0,1.0,SL Hit,1.0,1460.89
2025-01-04 06:10:00,2025-01-04 06:11:00,3127.875,3127.909,long,0.03,0.03,0.0,0.0,4590.255,4616.775,0.02,2.5,3127.859,3130.379,-0.02,2.5,-0.0,0.0,1.0,SL Hit,1.0,1462.38
2025-01-04 07:36:00,2025-01-04 07:37:00,3129.648,3129.948,long,0.3,0.3,0.0,0.0002,4590.255,4616.775,1.65,0.4,3128.0,3130.048,-1.65,0.4,-0.0,0.0,1.0,SL Hit,1.0,1460.61
2025-01-04 07:39:00,2025-01-04 07:40:00,3128.0,3128.0,long,0.0,0.0,0.0,0.0,4590.255,4616.775,1.0,0.0,3126.998,3128.0,-1.0,0.0,-0.0,0.0,1.0,SL Hit,1.0,1462.26
2025-01-04 07:45:00,2025-01-04 07:46:00,3126.559,3126.509,long,-0.05,-0.05,0.0,-0.0,4590.255,4616.775,2.26,0.0,3124.299,3126.559,-2.26,0.0,-0.0,0.0,1.0,SL Hit,1.0,1463.7
2025-01-04 08:13:00,2025-01-04 08:14:00,3134.805,3134.825,short,-0.02,-0.02,0.0,-0.0,4590.255,4616.775,0.42,0.25,3135.225,3134.555,-0.42,0.25,-0.0,0.0,1.0,TP Hit,1.0,1455.45
2025-01-04 13:25:00,2025-01-04 13:26:00,3129.525,3129.535,long,0.01,0.01,0.0,0.0,4590.255,4616.775,0.81,0.38,3128.715,3129.908,-0.81,0.38,-0.0,0.0,1.0,SL Hit,1.0,1460.73
2025-01-04 13:27:00,2025-01-04 13:28:00,3128.798,3128.735,long,-0.06,-0.06,0.0,-0.0,4590.255,4616.775,0.09,1.45,3128.705,3130.248,-0.09,1.45,-0.0,0.0,1.0,SL Hit,1.0,1461.46
2025-01-04 17:24:00,2025-01-04 17:25:00,3112.485,3112.485,short,0.0,0.0,0.0,0.0,4590.255,4616.775,0.62,0.44,3113.105,3112.048,-0.62,0.44,-0.0,0.0,1.0,TP Hit,1.0,1477.77
2025-01-04 18:05:00,2025-01-04 18:06:00,3115.305,3115.305,short,0.0,0.0,0.0,0.0,4590.255,4616.775,1.19,0.26,3116.495,3115.045,-1.19,0.26,-0.0,0.0,1.0,TP Hit,1.0,1474.95
2025-01-04 18:08:00,2025-01-04 18:09:00,3115.758,3115.765,short,-0.01,-0.01,0.0,-0.0,4590.255,4616.775,0.43,0.0,3116.185,3115.758,-0.43,0.0,-0.0,0.0,1.0,TP Hit,1.0,1474.5
2025-01-04 18:10:00,2025-01-04 18:11:00,3116.095,3116.125,short,-0.03,-0.03,0.0,-0.0,4590.255,4616.775,0.03,0.68,3116.125,3115.415,-0.03,0.68,-0.0,0.0,1.0,TP Hit,1.0,1474.16
2025-01-04 18:12:00,2025-01-04 18:13:00,3115.865,3115.855,short,0.01,0.01,0.0,0.0,4590.255,4616.775,0.69,0.12,3116.555,3115.745,-0.69,0.12,-0.0,0.0,1.0,TP Hit,1.0,1474.39
2025-01-04 19:30:00,2025-01-04 19:31:00,3117.335,3117.265,short,0.07,0.07,0.0,0.0,4590.255,4616.775,0.15,0.73,3117.485,3116.605,-0.15,0.73,-0.0,0.0,1.0,TP Hit,1.0,1472.92
2025-01-04 20:55:00,2025-01-04 20:56:00,3114.105,3114.148,long,0.04,0.04,0.0,0.0,4590.255,4616.775,0.77,0.12,3113.335,3114.225,-0.77,0.12,-0.0,0.0,1.0,SL Hit,1.0,1476.15
2025-01-04 20:57:00,2025-01-04 20:58:00,3114.085,3114.065,long,-0.02,-0.02,0.0,-0.0,4590.255,4616.775,0.29,0.34,3113.798,3114.425,-0.29,0.34,-0.0,0.0,1.0,SL Hit,1.0,1476.17
2025-01-04 20:59:00,2025-01-04 21:00:00,3113.025,0.0,long,-3113.03,-3113.03,0.0,-2.1073,4590.255,4616.775,3113.03,0.0,0.0,3113.025,-3113.03,0.0,-2.11,0.0,1.0,SL Hit,1.0,1477.23
2025-01-04 22:03:00,2025-01-04 22:04:00,3113.048,3112.975,short,0.07,0.07,0.0,0.0,4590.255,4616.775,0.81,0.07,3113.858,3112.975,-0.81,0.07,-0.0,0.0,1.0,TP Hit,1.0,1477.21
2025-01-04 22:06:00,2025-01-04 22:07:00,3114.198,3114.198,short,0.0,0.0,0.0,0.0,4590.255,4616.775,0.0,0.6,3114.198,3113.598,-0.0,0.6,-0.0,0.0,1.0,TP Hit,1.0,1476.06
2025-01-04 22:08:00,2025-01-04 22:09:00,3113.498,3113.598,short,-0.1,-0.1,0.0,-0.0001,4590.255,4616.775,0.24,0.14,3113.735,3113.355,-0.24,0.14,-0.0,0.0,1.0,TP Hit,1.0,1476.76
2025-01-04 22:10:00,2025-01-04 22:11:00,3112.835,3112.895,short,-0.06,-0.06,0.0,-0.0,4590.255,4616.775,0.06,0.42,3112.895,3112.415,-0.06,0.42,-0.0,0.0,1.0,TP Hit,1.0,1477.42
2025-01-04 22:12:00,2025-01-04 22:13:00,3112.755,3112.785,short,-0.03,-0.03,0.0,-0.0,4590.255,4616.775,0.36,0.66,3113.115,3112.095,-0.36,0.66,-0.0,0.0,1.0,TP Hit,1.0,1477.5
2025-01-04 22:14:00,2025-01-04 22:15:00,3112.085,3112.015,short,0.07,0.07,0.0,0.0,4590.255,4616.775,0.22,2.22,3112.305,3109.868,-0.22,2.22,-0.0,0.0,1.0,TP Hit,1.0,1478.17
2025-01-04 22:16:00,2025-01-04 22:17:00,3109.075,3109.055,short,0.02,0.02,0.0,0.0,4590.255,4616.775,0.32,0.52,3109.395,3108.555,-0.32,0.52,-0.0,0.0,1.0,TP Hit,1.0,1481.18
