entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-01-01 23:58:00,2025-01-02 00:09:00,2623.435,2625.905,short,-0.25,-0.25,0.0,0.0,,,1.87,0.99,2625.305,2622.448,-0.19,0.1,0.0,0.0,11.0,Exit,0.1,0.0
2025-01-02 00:59:00,2025-01-02 01:10:00,2626.455,2629.648,long,0.32,0.32,0.0,0.0,,,2.81,3.99,2623.645,2630.448,-0.28,0.4,0.0,0.0,11.0,Exit,0.1,0.0
2025-01-02 01:51:00,2025-01-02 02:01:00,2632.905,2633.898,long,0.1,0.1,0.0,0.0,,,1.41,1.59,2631.498,2634.498,-0.14,0.16,0.0,0.0,10.0,Exit,0.1,0.0
2025-01-02 02:45:00,2025-01-02 02:49:00,2633.654,2632.148,long,-0.15,-0.15,0.0,0.0,,,1.51,0.0,2632.148,2633.654,-0.15,0.0,0.0,0.0,4.0,Exit,0.1,0.0
2025-01-02 03:27:00,2025-01-02 03:37:00,2633.305,2633.155,short,0.02,0.02,0.0,0.0,,,0.8,0.83,2634.108,2632.475,-0.08,0.08,0.0,0.0,10.0,Exit,0.1,0.0
2025-01-02 05:14:00,2025-01-02 05:26:00,2634.048,2633.698,long,-0.03,-0.03,0.0,0.0,,,0.9,0.35,2633.148,2634.398,-0.09,0.04,0.0,0.0,12.0,Exit,0.1,0.0
2025-01-02 05:47:00,2025-01-02 06:01:00,2634.848,2632.448,long,-0.24,-0.24,0.0,0.0,,,1.95,0.35,2632.898,2635.198,-0.19,0.03,0.0,0.0,14.0,Exit,0.1,0.0
2025-01-02 06:24:00,2025-01-02 06:33:00,2632.248,2634.274,short,-0.2,-0.2,0.0,0.0,,,2.06,0.0,2634.304,2632.248,-0.21,0.0,0.0,0.0,9.0,Exit,0.1,0.0
2025-01-02 07:02:00,2025-01-02 07:25:00,2634.148,2634.908,long,0.08,0.08,0.0,0.0,,,0.82,1.65,2633.328,2635.798,-0.08,0.17,0.0,0.0,23.0,Exit,0.1,0.0
2025-01-02 07:56:00,2025-01-02 07:57:00,2634.088,2635.254,short,-0.12,-0.12,0.0,0.0,,,0.69,0.0,2634.778,2634.088,-0.07,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-01-02 08:19:00,2025-01-02 08:22:00,2635.008,2632.775,long,-0.22,-0.22,0.0,0.0,,,1.65,0.0,2633.355,2635.008,-0.17,0.0,0.0,0.0,3.0,Exit,0.1,0.0
2025-01-02 09:23:00,2025-01-02 09:54:00,2638.248,2636.048,long,-0.22,-0.22,0.0,0.0,,,2.07,1.54,2636.178,2639.785,-0.21,0.15,0.0,0.0,31.0,Exit,0.1,0.0
2025-01-02 10:54:00,2025-01-02 11:06:00,2643.225,2643.045,long,-0.02,-0.02,0.0,0.0,,,1.6,0.91,2641.628,2644.138,-0.16,0.09,0.0,0.0,12.0,Exit,0.1,0.0
2025-01-02 11:21:00,2025-01-02 11:26:00,2643.985,2640.204,long,-0.38,-0.38,0.0,0.0,,,3.64,0.0,2640.348,2643.985,-0.36,0.0,0.0,0.0,5.0,Exit,0.1,0.0
2025-01-02 11:43:00,2025-01-02 12:14:00,2641.885,2641.448,short,0.04,0.04,0.0,0.0,,,0.86,1.74,2642.745,2640.148,-0.09,0.17,0.0,0.0,31.0,Exit,0.1,0.0
