entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-02-11 02:57:00,2025-02-11 03:06:00,2918.845,2912.715,short,0.61,0.61,0.0,0.0,,,1.04,7.75,2919.888,2911.095,-0.1,0.78,0.0,0.0,9.0,Exit,0.1,0.0
2025-02-14 15:48:00,2025-02-14 15:57:00,2902.035,2902.945,short,-0.09,-0.09,0.0,0.0,,,1.76,1.96,2903.795,2900.075,-0.18,0.2,0.0,0.0,9.0,Exit,0.1,0.0
2025-02-20 14:29:00,2025-02-20 14:30:00,2927.925,2932.505,short,-0.46,-0.46,0.0,0.0,,,3.98,0.0,2931.905,2927.925,-0.4,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-02-25 16:24:00,2025-02-25 16:36:00,2898.355,2898.225,short,0.01,0.01,0.0,0.0,,,1.13,8.23,2899.485,2890.125,-0.11,0.82,0.0,0.0,12.0,Exit,0.1,0.0
2025-03-21 14:31:00,2025-03-21 14:32:00,3004.768,3007.915,short,-0.31,-0.31,0.0,0.0,,,3.43,0.0,3008.195,3004.768,-0.34,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-04-01 16:34:00,2025-04-01 16:36:00,3105.835,3108.198,short,-0.24,-0.24,0.0,0.0,,,2.27,0.77,3108.105,3105.065,-0.23,0.08,0.0,0.0,2.0,Exit,0.1,0.0
2025-04-03 10:51:00,2025-04-03 10:58:00,3106.698,3092.565,short,1.41,1.41,0.0,0.0,,,1.25,18.62,3107.948,3088.075,-0.12,1.86,0.0,0.0,7.0,Exit,0.1,0.0
2025-04-03 11:17:00,2025-04-03 11:23:00,3097.105,3097.875,short,-0.08,-0.08,0.0,0.0,,,1.51,4.12,3098.615,3092.985,-0.15,0.41,0.0,0.0,6.0,Exit,0.1,0.0
2025-04-03 14:01:00,2025-04-03 14:07:00,3090.075,3103.405,long,1.33,1.33,0.0,0.0,,,1.1,14.22,3088.975,3104.298,-0.11,1.42,0.0,0.0,6.0,Exit,0.1,0.0
2025-04-04 03:03:00,2025-04-04 03:04:00,3095.975,3098.498,short,-0.25,-0.25,0.0,0.0,,,2.33,0.4,3098.305,3095.575,-0.23,0.04,0.0,0.0,1.0,Exit,0.1,0.0
2025-04-04 12:01:00,2025-04-04 12:11:00,3107.725,3096.405,short,1.13,1.13,0.0,0.0,,,1.1,13.91,3108.825,3093.815,-0.11,1.39,0.0,0.0,10.0,Exit,0.1,0.0
2025-04-17 07:33:00,2025-04-17 07:35:00,3318.505,3321.305,short,-0.28,-0.28,0.0,0.0,,,2.41,1.93,3320.915,3316.575,-0.24,0.19,0.0,0.0,2.0,Exit,0.1,0.0
2025-04-22 03:56:00,2025-04-22 03:58:00,3489.405,3487.475,long,-0.19,-0.19,0.0,0.0,,,2.72,0.0,3486.685,3489.405,-0.27,0.0,0.0,0.0,2.0,Exit,0.1,0.0
2025-04-22 13:59:00,2025-04-22 14:00:00,3420.855,3431.965,short,-1.11,-1.11,0.0,0.0,,,10.97,3.13,3431.825,3417.725,-1.1,0.31,0.0,0.0,1.0,Exit,0.1,0.0
2025-04-22 22:51:00,2025-04-22 23:00:00,3325.995,3330.075,short,-0.41,-0.41,0.0,0.0,,,3.48,2.95,3329.475,3323.045,-0.35,0.29,0.0,0.0,9.0,Exit,0.1,0.0
2025-04-23 07:11:00,2025-04-23 07:12:00,3306.975,3309.185,short,-0.22,-0.22,0.0,0.0,,,2.35,0.0,3309.325,3306.975,-0.23,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-04-23 14:26:00,2025-04-23 14:29:00,3274.145,3275.655,short,-0.15,-0.15,0.0,0.0,,,1.22,2.47,3275.365,3271.675,-0.12,0.25,0.0,0.0,3.0,Exit,0.1,0.0
2025-04-25 04:29:00,2025-04-25 04:40:00,3322.135,3322.025,short,0.01,0.01,0.0,0.0,,,1.83,6.13,3323.965,3316.005,-0.18,0.61,0.0,0.0,11.0,Exit,0.1,0.0
2025-05-05 01:49:00,2025-05-05 01:50:00,3265.215,3262.765,long,-0.24,-0.24,0.0,0.0,,,3.01,0.0,3262.205,3265.215,-0.3,0.0,0.0,0.0,1.0,Exit,0.1,0.0
2025-05-05 10:17:00,2025-05-05 10:21:00,3311.225,3317.245,long,0.6,0.6,0.0,0.0,,,0.77,6.72,3310.455,3317.945,-0.08,0.67,0.0,0.0,4.0,Exit,0.1,0.0
2025-05-05 19:45:00,2025-05-05 19:49:00,3334.949,3333.405,long,-0.15,-0.15,0.0,0.0,,,1.05,1.87,3333.895,3336.815,-0.11,0.19,0.0,0.0,4.0,Exit,0.1,0.0
2025-05-06 01:58:00,2025-05-06 02:05:00,3374.415,3374.315,long,-0.01,-0.01,0.0,0.0,,,0.9,6.02,3373.515,3380.435,-0.09,0.6,0.0,0.0,7.0,Exit,0.1,0.0
2025-05-06 22:44:00,2025-05-06 22:51:00,3391.905,3394.945,short,-0.3,-0.3,0.0,0.0,,,3.21,4.92,3395.115,3386.985,-0.32,0.49,0.0,0.0,7.0,Exit,0.1,0.0
2025-05-07 19:31:00,2025-05-07 19:33:00,3370.665,3373.005,short,-0.23,-0.23,0.0,0.0,,,2.49,2.61,3373.155,3368.055,-0.25,0.26,0.0,0.0,2.0,Exit,0.1,0.0
