entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-01-02 01:04:00,2025-01-02 01:05:00,2625.285,2627.555,short,-129.71,-129.71,0.0,-0.1341,2608.355,2643.355,2.86,0.0,2628.148,2625.285,-163.6,0.0,-0.17,0.0,1.0,SL Hit,57.1429,967.43
2025-01-02 02:04:00,2025-01-02 02:05:00,2633.405,2632.715,long,-39.43,-39.43,0.0,-0.0382,2615.325,2650.325,0.71,0.35,2632.698,2633.755,-40.4,20.0,-0.04,0.02,1.0,Exit,57.1429,1033.14
2025-01-02 03:04:00,2025-01-02 03:07:00,2634.548,2633.398,long,-65.71,-65.71,0.0,-0.0636,2616.454,2651.454,1.22,0.0,2633.324,2634.548,-69.94,0.0,-0.07,0.0,3.0,Exit,57.1429,1033.94
2025-01-02 05:50:00,2025-01-02 05:51:00,2634.398,2635.144,short,-42.63,-42.63,0.0,-0.0439,2617.398,2652.398,0.8,0.0,2635.198,2634.398,-45.71,0.0,-0.05,0.0,1.0,SL Hit,57.1429,971.43
2025-01-02 09:13:00,2025-01-02 09:14:00,2637.848,2637.448,long,-22.86,-22.86,0.0,-0.0222,2619.848,2654.848,0.7,0.3,2637.148,2638.148,-40.0,17.14,-0.04,0.02,1.0,Exit,57.1429,1028.57
2025-01-02 10:10:00,2025-01-02 10:11:00,2634.785,2636.825,short,-116.57,-116.57,0.0,-0.1206,2617.865,2652.865,2.84,0.0,2637.625,2634.785,-162.29,0.0,-0.17,0.0,1.0,SL Hit,57.1429,966.86
2025-01-02 10:37:00,2025-01-02 10:38:00,2643.654,2645.058,short,-80.23,-80.23,0.0,-0.0831,2626.764,2661.764,1.89,0.0,2645.548,2643.654,-108.23,0.0,-0.11,0.0,1.0,SL Hit,57.1429,965.14
2025-01-02 11:19:00,2025-01-02 11:39:00,2644.125,2640.934,long,-182.34,-182.34,0.0,-0.1762,2626.015,2661.015,4.06,0.0,2640.064,2644.125,-232.06,0.0,-0.22,0.0,20.0,Exit,57.1429,1034.86
2025-01-02 11:58:00,2025-01-02 11:59:00,2641.198,2642.174,short,-55.77,-55.77,0.0,-0.0578,2624.298,2659.298,0.8,0.0,2641.998,2641.198,-45.71,0.0,-0.05,0.0,1.0,SL Hit,57.1429,965.71
2025-01-02 12:56:00,2025-01-02 13:27:00,2644.655,2638.825,long,-333.14,-333.14,0.0,-0.3223,2626.565,2661.565,8.79,0.0,2635.865,2644.655,-502.29,0.0,-0.49,0.0,31.0,Exit,57.1429,1033.71
