entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-01-02 08:13:00,2025-01-02 08:14:00,2634.048,2635.348,short,-13.0,-13.0,0.0,-0.0379,2599.748,2649.748,1.2,0.0,2635.248,2634.048,-12.0,0.0,-0.03,0.0,1.0,SL Hit,10.0,343.0
2025-01-02 10:37:00,2025-01-02 10:38:00,2643.654,2645.058,short,-14.04,-14.04,0.0,-0.0408,2609.264,2659.264,1.89,0.0,2645.548,2643.654,-18.94,0.0,-0.06,0.0,1.0,SL Hit,10.0,343.9
2025-01-02 18:49:00,2025-01-02 18:56:00,2655.294,2654.814,long,-4.8,-4.8,0.0,-0.0135,2619.714,2669.714,0.77,0.22,2654.524,2655.514,-7.7,2.2,-0.02,0.01,7.0,Exit,10.0,355.8
2025-01-03 21:31:00,2025-01-03 21:39:00,2637.765,2636.668,long,-10.97,-10.97,0.0,-0.0308,2602.165,2652.165,1.14,0.0,2636.625,2637.765,-11.4,0.0,-0.03,0.0,8.0,Exit,10.0,356.0
2025-01-06 00:45:00,2025-01-06 00:46:00,2639.585,2639.448,long,-1.37,-1.37,0.0,-0.0039,2604.015,2654.015,0.84,0.47,2638.748,2640.055,-8.37,4.7,-0.02,0.01,1.0,Exit,10.0,355.7
2025-01-06 01:11:00,2025-01-06 01:12:00,2641.798,2643.185,short,-13.87,-13.87,0.0,-0.0403,2607.398,2657.398,2.2,0.0,2643.995,2641.798,-21.97,0.0,-0.06,0.0,1.0,SL Hit,10.0,344.0
2025-01-06 10:05:00,2025-01-06 10:17:00,2633.165,2632.055,long,-11.1,-11.1,0.0,-0.0312,2597.575,2647.575,2.12,0.0,2631.045,2633.165,-21.2,0.0,-0.06,0.0,12.0,Exit,10.0,355.9
2025-01-06 18:08:00,2025-01-06 18:14:00,2635.905,2634.665,long,-12.4,-12.4,0.0,-0.0348,2600.305,2650.305,2.26,0.0,2633.645,2635.905,-22.6,0.0,-0.06,0.0,6.0,Exit,10.0,356.0
2025-01-06 18:53:00,2025-01-06 18:56:00,2636.345,2635.285,long,-10.6,-10.6,0.0,-0.0298,2600.745,2650.745,1.03,0.0,2635.315,2636.345,-10.3,0.0,-0.03,0.0,3.0,Exit,10.0,356.0
2025-01-06 19:31:00,2025-01-06 19:41:00,2634.535,2633.675,long,-8.6,-8.6,0.0,-0.0242,2598.945,2648.945,1.01,0.13,2633.525,2634.665,-10.1,1.3,-0.03,0.0,10.0,Exit,10.0,355.9
2025-01-06 21:40:00,2025-01-06 21:41:00,2635.735,2636.815,short,-10.8,-10.8,0.0,-0.0314,2601.355,2651.355,0.62,0.0,2636.355,2635.735,-6.2,0.0,-0.02,0.0,1.0,SL Hit,10.0,343.8
2025-01-07 08:42:00,2025-01-07 08:43:00,2643.055,2643.985,short,-9.3,-9.3,0.0,-0.027,2608.665,2658.665,0.86,0.0,2643.915,2643.055,-8.6,0.0,-0.03,0.0,1.0,SL Hit,10.0,343.9
2025-01-07 16:07:00,2025-01-07 16:08:00,2648.825,2648.648,short,1.77,1.77,0.0,0.0051,2614.395,2664.395,0.65,0.95,2649.475,2647.878,-6.5,9.47,-0.02,0.03,1.0,SL Hit,10.0,344.3
2025-01-07 16:32:00,2025-01-07 16:33:00,2651.348,2651.248,short,1.0,1.0,0.0,0.0029,2616.848,2666.848,1.17,1.23,2652.515,2650.115,-11.67,12.33,-0.03,0.04,1.0,SL Hit,10.0,345.0
